CODE,Q1,A1,P/F,Q2
1,특정직 국가 공무원에 대해 설명해 주세요.,"국가의 안전과 방위, 사회의 질서유지, 또는 교육 등의 분야의 업무를 담당하는 경력직 공무원을 의미합니다. 즉, 특정직 공무원이란 법관·검사·외무공무원·경찰공무원·소방공무원·교육공무원·군인·군무원 및 국가정보원의 직원 등을 말하며, 그 밖에 특수분야의 업무를 담당하는 공무원 중 법률로서 특정직 공무원으로 지정하는 공무원이 이에 포함됩니다.",P,군인과 군무원의 차이점을 설명해 주세요.
1,특정직 국가 공무원에 대해 설명해 주세요.,"특정직 공무원은 일반직 공무원과 마찬가지로 실적과 자격에 의해 임용되고 신분이 보장되는 점에서는 동일하지만, 특정직 공무원은 담당 직무가 특수하여 거기에 필요한 자격·복무규율·정년·보수체계·신분보장 등에서 특수성을 인정할 필요가 있는 공무원을 별도로 분류한 것입니다.",P,특정직 공무원이 담당하는 직무에 대해 설명해 주세요.
1,특정직 국가 공무원에 대해 설명해 주세요.,"특수분야의 업무를 담당하는 공무원으로 관습적인 명칭으로 특정직 공무원이라는 표현을 사용한다.
일반직 공무원과 마찬가지로 실적과 자격에 의해 임용되고 신분이 보장된다. 군인과 군무원도 특정직 공무원에 포함된다.",F,
1,특정직 국가 공무원에 대해 설명해 주세요.,"법관, 검사, 외무공무원, 경찰공무원, 소방공무원, 교육공무원, 군무원, 국가정보원의 직원과 특수분야의 업무를 담당하는 공무원으로서 법률로서 특정직 공무원으로 지정된다. 일반직 공무원과 다르게 경력직 공무원에 포함되지 않는다.",F,
1,특정직 국가 공무원에 대해 설명해 주세요.,"법관, 검사, 외무공무원, 경찰공무원, 소방공무원, 교육공무원, 군무원, 국가정보원의 직원과 특수분야의 업무를 담당하는 공무원으로서 법률로서 특정직 공무원으로 지정된다. 하지만 자격, 복무규율, 정년, 보수체계, 신분보장 등에서 일반직 공무원과의 차이는 금지한다.",F,
1,특정직 국가 공무원에 대해 설명해 주세요.,"법관·검사·외무공무원·경찰공무원·소방공무원·교육공무원·군인·군무원 및 국가정보원의 직원과 특수분야의 업무를 담당하는 공무원으로서 다른 법률에 의하여 특정직공무원으로 지정되는 공무원을 말합니다. 특정직공무원은 공직의 분류에 있어서 경력직 공무원에 해당되며, 경력직 공무원은 다시 일반직 공무원과 특정직 공무원, 기능직 공무원으로 분류됩니다.",P,기능직 공무원에 대해 설명해 주세요.
1,국방부의 역할과 조직에 대해 설명해 주세요.,"국방에 관련된 군정 및 군령과 그밖에 군사에 관한 사무를 관장하는 중앙행정기관입니다. 소속기관으로는 국립묘지를 관리하는 사무를 관장하는 국립서울현충원, 국방일보와 국군방송 등의 제작에 관한 사무를 관장하는 국방홍보원, 국방부와 그 소속기관의 정보화 업무를 지원하고 국방자원을 관리하는 정보체계의 구축·운영에 관한 사무를 관장하는 국방전산정보원이 있습니다.",P,국방전산정보원에 대해 설명해 주세요.
1,국방부의 역할과 조직에 대해 설명해 주세요.,"국방에 관련된 군정 및 군령과 그밖에 군사에 관한 사무를 관장하는 중앙행정기관이다. 육군, 공군, 해군 등 3군은 국방부에 독립적으로 설치되어 있으며 국방부는 3군의 대외적인 업무를 대리하여 처리한다.",F,
1,국방부의 역할과 조직에 대해 설명해 주세요.,"국방부 조직은 광복 전 대한민국 임시정부 산하의 광복군로 시작하여  1945년 11월 미 군정청의 국방사령부로 개칭, 1946년 국방부로 개칭한 뒤, 1948년 대한민국 정부 수립과 함께 국방부로 정식 출범하였습니다.",F,
1,국방부의 역할과 조직에 대해 설명해 주세요.,"국립묘지를 관리하는 국립서울현충원, 국방일보와 국군방송 등의 제작을 관장하는 국방홍보원, 국방부의 정보화 업무를 지원하는 국방전산정보원은 국방부를 지원하나 그 곳에서 근무하는 자는 신분상 공무원으로 보호받지 못한다.",F,
1,국방부의 역할과 조직에 대해 설명해 주세요.,"국방부 조직은 장관 1명과 차관 1명, 5실 18관 등으로 이루어져 있습니다. 군사보좌관·장관정책보좌관과 군구조·국방운영개혁추진실은 장관 직속, 기획조정실장·법무관리관·감사관은 차관 직속입니다. 광복 직후인 1945년 11월 미 군정청의 국방사령부로 시작하여 1946년 국방부로 개칭한 뒤, 1948년 대한민국 정부 수립과 함께 국방부로 정식 출범하였습니다.",P,5실 18관에 대해 설명해 주세요.
1,국방부의 역할과 조직에 대해 설명해 주세요.,"외부의 군사적 위협과 침략으로부터 국가 보위, 평화통일의 뒷받침, 지역안정과 세계평화에의 기여 등을 목표로 하고 있는 중앙행정기관 입니다. 국방부 예하에는 육군, 해군, 공군 등 3군을 비롯하여 최고군령기구로서 합동참모본부가 있다. 국방부는 육군·해군·공군본부 등을 통해 군사행정 분야를 통제하고, 합동참모본부를 통하여 군사작전 분야를 통제합니다.",P,국방부 예하 조직에 대해 설명해 주세요.
2,합동참모본부에 대해 설명해 주세요.,"우리나라의 합동참모본부는 미국과 마찬가지로 군령과 국방정책 수립에 있어 대통령과 국방부장관을 보좌하고, 각 군 간의 협조체제 유지와 합동작전 수행 등 군의 총괄적인 문제를 협의, 지휘하는 임무를 담당하고 있습니다. 합참의장은 군령에 관하여 국방부장관을 보좌하고 국방부장관의 명을 받아 전투를 주 임무로 하는 각 군의 작전부대를 작전 지휘,감독하도록 되어있습니다.",P,합참의장의 역할에 대해 설명해 주세요.
2,합동참모본부에 대해 설명해 주세요.,"합동참모본부는 군령과 국방정책 수립에 있어 대통령과 국방부장관을 보좌하고 군의 총괄적인 문제를 협의, 지휘하는 임무를 담당하고 있다. 유사시의 경우 군에 대한 전문성을 인정받아 대통령과 국방부 장관의 명과 다르게 작전부대를 지휘, 감독할 수 있다.",F,
2,합동참모본부에 대해 설명해 주세요.,대한민국의 합동참모본부는 일본의 영향을 받아 군령과 국방정책 수립에 있어 대통령과 국방부장관을 보좌한다. 이는 타 선진국과는 확연히 다른 대한민국과 일본의 독특한 국방 시스템으로 알려져있다.,F,
2,합동참모본부에 대해 설명해 주세요.,"합참은 장기 군사전략기획, 단기 군사전략 및 전략 지침 하달, 전력증강 소요기획, 군 구조 및 부대기획, 각 군의 작전부대 작전지휘 및 합동부대 지휘, 연합 및 합동훈련, 군사연습 업무 관장, 민사심리전 및 전시, 평시 계엄업무 수행, 기타 군사와 관련된 업무 등을 수행합니다.",P,계엄에 대해 설명해 주세요.
2,합동참모본부에 대해 설명해 주세요.,"합동참모본부는 단기 군사전략 및 전략 지침 하달, 작전부대 작전지휘 및 합동부대 지휘, 군사연습 및 업무 관장 등을 수행한다. 하지만 장기 군사전략기획과 전력증강 소요기획 등 장기적인 안목으로 기획해야하는 업무는 국방부 고유의 소관이다.",F,
2,병역제도에 대해 설명해 주세요.,"병역에는 모든 국민이 의무적으로 병역을 치러야 하는 의무병제도와 개인의 자유의사에 따른 지원병제도가 있습니다. 의무병제도는 다시 징병제와 민병제로 구분되는데, 다같이 국민개병제의 성격을 띠고 있습니다. 징병제는 평상시에 국방에 최소한으로 소요되는 병원을 징집하여 일정한 교육과 훈련의 복무 기간을 거친 다음 예비전력으로 확보하는 것입니다.",P,민병제도에 대해 설명해 주세요.
2,병역제도에 대해 설명해 주세요.,병역에는 모든 국민이 의무적으로 병역을 치러야 하는 의무병제도와 개인의 의사에 따른 지원병 제도가 있다. 지원병제는 평시에 국방에 최대한으로 소요되는 병원을 징집하여 일정한 교육과 훈련을 거치게 하여 예비전력으로 확보하는데에 예산을 사용한다.,F,
2,병역제도에 대해 설명해 주세요.,대한민국에서는 국방의 의무를 국민의 의무로서 정해놓았지만 병역의 경우 개인의 자유의사에 따른 지원병 제도를 따른다. 병원의 획득 및 편입은 지원에 의한 지원병제이며 역종은 현역과 호국병역의 2종이 있다.,F,
2,병역제도에 대해 설명해 주세요.,"병역의무자의 복무역종은 현역, 예비역, 보충역, 제1국민역, 제2국민역으로 나누어 진다. 징집이나 지원에 의하여 입영한 병을 현역이라고 말하고, 임용된 장교, 준사관, 부사관으로 실역에 복무하는 자를 예비역이라고 말한다.",F,
2,병역제도에 대해 설명해 주세요.,"우리 나라에서 병역은 국민의 의무로서 원칙적으로 국민개병주의에 따른 의무병역제도입니다. 정부 수립 후 국방업무를 담당하던 국방경비대가 국군으로 편입되면서 1949년 1월 대통령령으로 호국병역에 관한 임시조치령이 공포되었습니다. 주요 내용을 보면 병원의 획득 및 편입은 지원에 의한 의용병제이며, 역종은 현역과 호국병역의 2종이었습니다.",P,호국병역에 대해 설명해 주세요.
2,병역제도에 대해 설명해 주세요.,"병역의무자의 복무역종은 현역·예비역·보충역·제1국민역·제2국민역으로 나누어진다. 현역은 징집이나 지원에 의하여 입영한 병과 임용된 장교·준사관·부사관·무관후보생으로 실역에 복무하는 자이고, 예비역은 현역을 마친 자와 실역을 마치지 않았더라도 병역법에 따라 예비역에 편입된 자입니다. ",P,보충역에 대해 설명해 주세요.
2,향토예비군설치법령에 대해 설명해 주세요.,"향토를 방위하기 위하여 향토예비군의 설치·조직·편성과 동원 등에 관한 사항을 규정함을 목적으로 합니다. 예비군은 예비역의 장교·준사관·부사관, 현역 또는 상근예비역의 복무를 마친 예비역의 병, 사회복무요원·공중보건의사·공익법무관·산업기능요원 등의 복무 또는 의무종사를 마친 보충역의 병과 지원한 자 중에서 선발된 자로 조직합니다.",P,상근예비역에 대해 설명해 주세요.
2,향토예비군설치법령에 대해 설명해 주세요.,향토예비군에 관한 사항을 규정한 법률이다. 예비군은 반드시 대원의 거주지를 단위로 하여 지역예비군을 편성한다. 지역예비군으로 편성된 자는 연 20일 이상의 기간을 예비군대원으로서 훈련을 받아야한다.,F,
2,향토예비군설치법령에 대해 설명해 주세요.,"예비군은 전시, 사변 기타 이에 준하는 국가비상사태하에서 적 또는 반국가단체의 지령을 받고 무기를 소지한 무장공비의 침투가 있거나 그 우려가 있는 지역 안에서의 무장 소요의 진압을 위해 국방부 장관의 명이 하달되면 즉시 거주지를 단위로 편성되어야 하며 이에 불응할 시 처벌을 받는다.",F,
2,향토예비군설치법령에 대해 설명해 주세요.,"예비군은 전시·사변 기타 이에 준하는 국가비상사태하에서 현역군부대의 편성이나 작전수요를 위한 동원에의 대비, 적 또는 반국가단체의 지령을 받고 무기를 소지한 무장공비의 침투가 있거나 그 우려가 있는 지역 안에서의 적 또는 무장공비의 소멸, 무장소요가 있거나 그 우려가 있는 지역 안에서의 직간접적인 전투와 작전을 맡는다.",F,
2,향토예비군설치법령에 대해 설명해 주세요.,"향토예비군에 관한 사항을 규정한 법률입니다. 예비군은 대원의 거주지 또는 직장을 단위로 하여 지역예비군 또는 직장예비군을 편성합니다. 예비군에 관한 사항은 국방부 장관이 관장합니다. 국방부 장관은 예비군대원에 대하여 일정한 시간 이내에 지정된 장소에 응소하도록 동원을 명할 수 있으며, 연 20일의 한도 내에서 예비군대원을 훈련할 수 있습니다.",P,지역예비군과 직장예비군을 비교해 설명해 주세요.
2,향토예비군설치법령에 대해 설명해 주세요.,"예비군은 전시·사변 기타 이에 준하는 국가비상사태하에서 현역군부대의 편성이나 작전수요를 위한 동원에의 대비, 적 또는 반국가단체의 지령을 받고 무기를 소지한 무장공비의 침투가 있거나 그 우려가 있는 지역 안에서의 적 또는 무장공비의 소멸, 무장소요가 있거나 그 우려가 있는 지역 안에서의 무장소요의 진압, 중요시설·무기고 및 병참선 등의 경비, 민방위 업무의 지원 등을 임무로 합니다.",P,국가비상사태에 대해 설명해 주세요.
2,군형법에 대해 설명해 주세요.,"대한민국의 영역 내외를 불문하고 규정된 죄를 범한 대한민국군인, 군무원, 군적을 가진 군의학교의 학생·생도와 사관후보생·부사관후보생 및 병역법의 규정에 의한 군적을 가지는 재영 중인 학생, 소집되어 실역에 복무 중인 예비역·보충역 및 제2국민역인 군인 등에 대하여 적용하며, 특정한 범죄는 그 이외의 자에게도 적용합니다.",P,군형법에 적용되는 특정한 범죄에 대해 설명해 주세요.
2,군형법에 대해 설명해 주세요.,"
대한민국의 영역 내외를 불문하고 규정된 죄를 범한 대한민국군인, 군무원, 군적을 가진 군의학교의 학생·생도와 사관후보생·부사관후보생 및 병역법의 규정에 의한 군적을 가지는 재영 중인 학생, 소집되어 실역에 복무 중인 예비역·보충역 및 제2국민역인 군인 등에 대하여 적용하며 이외의 자에게는 적용될 수 없다.",,
2,군형법에 대해 설명해 주세요.,실질적으로 1962년 1월 20일 공포한 군형법이라는 이름이 붙은 법률을 말한다. 실직적인 군형법은 군형법 이외의 법률에 규정되어 있는 법률을 대한민국군인과 군무원에게 적용할 수 없다.,F,
2,군형법에 대해 설명해 주세요.,"군형법은 현역에 복무하는 대한민국 군인에 대해여 적용되며, 군무원, 군소속 기관의 학생, 생도, 사관후보생, 부사관 후보생에게는 적용되지 않는다. 군형법에서는 일반사회에서 범죄로 다루어질 수 없는 성질의 행위는 범죄로 규정할 수 없다.",F,
