CODE,Q1,A1,P/F,Q2
7,교육의 정의를 설명해 주세요.,"교육은 한자로 본받음, 가르침, 알림을 뜻하는 '교'와 낳음, 자람을 뜻하는 '육'으로 이루어져 있습니다. 즉 교육은 인간이 내면적으로 지니고 있는 천성과 소질, 성품 등을 보호하고 육성하는 과정입니다. 이를 통해 피교육자의 자발성과 창조성을 충분히 조장시켜 자립을 키워주는데 목적이 있습니다.",P,교육 대상자의 자립을 키워주기 위해 교육자가 가져야 할 태도를 설명해 주세요.
7,교육의 정의를 설명해 주세요.,"교육은 각 개인의 발달 가능성을 전제로 하여 자기형성을 보조해 가는 인간적인 활동입니다. 인간의 정신적, 신체적 성장과 발달을 어떤 이상과 목적 혹은 가치기준에 의하여 통제하거나 조력하는 일련의 인위적 과정과 자연적 성장입니다. 엄격한 의미에서 우연적 학습은 교육에서 제외합니다.",P,우연적 학습은 교육에서 제외되는 이유를 설명해 주세요.
7,교육의 정의를 설명해 주세요.,"교육이란 반드시 무상으로 이루어져야하는 것으로, 서로 가르치는 것을 근본으로 하고 있습니다. 인류의 역사에 등장한지 오래 되지 않은 개념이며, 국민근대국가에 비로소 국가 교육이 정립되었습니다.",F,
7,교육의 정의를 설명해 주세요.,"가르치고 기르는 것이라는 한자를 사용하며, 가장 먼저 한국에서 사용된 시기는 일제 강점기였습니다. 그 전까지 한국에서는 별다른 교육이 존재하지 않았으며, 교재도 없는 단순 가르침의 수준에 머물렀습니다.",F,
7,교육의 정의를 설명해 주세요.,"교육이란 교사가 기르는 것을 의미하고, 학부모의 모든 책임을 교사가 이수받아 학부모의 권한과 책임 모두를 교사가 가지게 되는 행위를 의미합니다. 따라서 학부모는 책임을 내려놓고 모든 권한은 학교에 위임됩니다.",F,
7,교육의 기본 구조는 크게 3가지 형식으로 구분됩니다. 그중 한가지를 선택해서 설명해 주세요.,교육자가 교재를 준비해서 피교육자에게 교수하는 형식입니다. 이러한 교육은 일정한 장소에서 계획을 세워 일정기간에 걸쳐 행하는 것으로 주로 학교교실에서 이뤄지는 형식입니다. 가정에서는 부모나 형과 누이 등이 자식이나 동생을 가르치고 직장에서는 선배가 후배에게 일의 기본을 가르칩니다.,P,교육자가 교육 계획을 세울 때 고려해야 할 사항에 대해 설명해 주세요.
7,교육의 기본 구조는 크게 3가지 형식으로 구분됩니다. 그중 한가지를 선택해서 설명해 주세요.,"교육을 받는자가 자기 스스로 계몽하도록 여러 교육내용을 준비하는 형식의 교육입니다. 이는 피교육자에게 직접 교수하는 것이 아니고 도서나 영화, 방송 등을 교육적으로 편성하여 제공함으로써 피교육자 스스로 자기교육을 하는 것입니다. 교육자는 배후에서 교육적 배려를 하는것에 중점을 둡니다.",P,피교육자에게 제공해야 할 자료와 채널의 선정 기준을 설명해 주세요.
7,교육의 기본 구조는 크게 3가지 형식으로 구분됩니다. 그중 한가지를 선택해서 설명해 주세요.,인간관계 자체를 통해 인간을 상호교육할 수 있습니다. 이러한 형식 또한 교육의 기본 구조로 여겨집니다. 이것은 교육기관에서도 볼 수 있지만 주로 교육기관 밖의 사회생활 가운데서 인간을 교육하는 활동입니다. 교육자는 의도적으로 가르치려고 하지 않으며 자기계발을 위한 내용을 제공하지도 않습니다.,P,사회생활을 통해 인간을 교육하는 활동이 다른 방식에 비해 효율성이 떨어질 수 있다는 의견에 대해 설명해 주세요.
7,교육의 기본 구조는 크게 3가지 형식으로 구분됩니다. 그중 한가지를 선택해서 설명해 주세요.,"교육의 구조 중 하나는 학생입니다. 학생은 교사와 상호 대등한 관계에서 가르침을 받게 되고, 이 경우에 교사에 대한 정당한 폭력은 허용되며, 마찬가지로 학생에 대한 교사의 무차별적인 폭력도 허용되게 됩니다.",F,
7,교육의 기본 구조는 크게 3가지 형식으로 구분됩니다. 그중 한가지를 선택해서 설명해 주세요.,"교육의 구조 중 하나는 학교입니다. 학교라는 공간에서 학생과 교사는 가르치고 배우게 되며, 이 때 학교는 반드시 국가에서 설립한 기관이여하며, 개인 혹은 사단 법인이 세운 학교는 법적 허가를 받을 수 없습니다.",F,
7,교육의 기본 구조는 크게 3가지 형식으로 구분됩니다. 그중 한가지를 선택해서 설명해 주세요.,"교육에는 교과서가 반드시 필요하며, 교과서는 반드시 국가가 공인한 공인 교과서만 사용하여야합니다. 다른 나라에는 국정 교과서 외의 교과서가 사용되는 경우도 있으나, 대한민국은 반드시 국정교과서만을 사용합니다.",F,
7,교수학습의 과정에서 그 주체가 어느쪽이 되느냐에 따라 교수법의 유형이 크게 3가지로 나뉩니다. 그 중 한가지를 선택해서 설명해 주세요.,교사 중심형은 교과의 전문가인 교사가 교육내용을 선정하고 교육방법을 채택하는 방식입니다. 학습자는 근본적으로 능동적인 참여자이기 보다는 교사가 하는 대로 따라서 순응하고 적응하는 수동적인 수용자가 됩니다. 따라서 교수법은 기본적으로 교사가 주도하는 일방적인 강의형식이 주를 이루게 됩니다.,P,일방적 강의 형식으로 이뤄지는 교수법에서는 학습자가 수동적 태도를 취하는 경우가 많습니다. 학습자의 태도를 좀 더 적극적으로 전환하기 위해 교사가 실행할 수 있는 방안을 설명해 주세요.
