CODE,Q1,A1,P/F,Q2
9,시각 디자인에 대해 설명해 주세요.,"그래픽 디자인에서 graphic 이라는 용어가 인쇄라는 용어와 관계가 있기는 하지만, 인쇄 디자인 또는 인쇄 매체에만 한정해서 사용되지는 않습니다. 사람의 눈이 확대된 것이 책이라면, 책의 확대개념은 분명히 정보일 것이며, 따라서 그래픽 디자인은 일체의 정보를 디자인하는 분야가 되는 것입니다.",P,그래픽과 정보의 관계를 설명해 주세요.
9,시각 디자인에 대해 설명해 주세요.,"그래픽 디자인, 또는 시각 디자인은 대중을 조종하고, 설득하고, 변형시키고, 교육시키는 감화형식을 시각적으로 창조해야 하기 때문에 대중에게 봉사한다는 윤리적 책임감이 그 기본이 되어야 합니다. 그러므로 그래픽 디자인, 또는 시각 디자인은 사회적인 예술이라고 할 수 있습니다.",P,디자인을 사회적 예술이라고 하는 이유를 설명해 주세요.
9,시각 디자인에 대해 설명해 주세요.,시각디자인에 대한 종류는 다양합니다. 옛날에는 회화 역시 시각디자인으로 불렸었습니다. 요즘 시각디자인은 대부분 전문가를 통해 이루어지며 프리랜서도 많습니다. 시각디자인은 우리 일상에서 쉽게 발견할 수 있는데 회사 로고 역시 시각디자인의 종류로 파악됩니다.,F,
9,시각 디자인에 대해 설명해 주세요.,시각디자인은 그래픽디자인과 같은 개념으로 이전에는 인쇄라는 절차를 반드시 걸쳐야했지만 요즘에는 인쇄 절차를 밟은 것은 시각디자인보다 출판물에 가깝다고 평가받고 있습니다. 따라서 요즘 시각 디자인은 대부분 디지털 그래픽을 사용하는 디자인을 총칭하는 용어로써 사용됩니다.,F,
9,시각 디자인에 대해 설명해 주세요.,시각디자인을 통해 기업은 많은 수익을 창출할 수 있습니다. 시각디자인이 고객에게 확실한 인식을 심어주는 역할을 한다면 기업 입장에서도 자신의 사업 광고에 유의미한 결과를 낼 수 있기 때문입니다. 따라서 요즘 기업은 시각디자인에 대해 막대한 돈을 투자하고 있는 실정입니다.,F,
9,그래픽 심벌에 대해 설명해 주세요.,"시각디자인 분야의 그래픽심벌로 포노그램은 엄밀하게 말해서 디자이너의 연구대상이 아닌 언어 그 자체라고 말할 수 있지만, 디자이너는 문자의 형태를 기능적으로 그리고 아름답게 조형함으로써 더욱 다양한 활자체를 개발하여야 합니다. 로고그램은 인간의 구체적인 경험과 연상의 일반성에 쉽게 동일화하는 기차·사람·전화기와 같은 물건을 양식화하여 만든 구상적인 심벌입니다.",P,언어의 기능을 설명해 주세요.
9,그래픽 심벌에 대해 설명해 주세요.,"어떤 사물이나 추상적인 개념을 나타내기 위한 기호와 마크를 가리키며, 국제적 커뮤니케이션을 가능하게 만들려는 목적을 갖고 있습니다. 그래픽 심벌의 국제 규격은 국제 표준화 기구와 국제 전기 표준 회의가 모든 산업 분야에 걸쳐 관장하고 있습니다. 그래픽 심벌은 국제 표준화 기구의 TC 145가 담당하고 있습니다.",P,국제 표준화 기구에 대해 설명해 주세요.
9,그래픽 심벌에 대해 설명해 주세요.,그래픽 심벌이란 문자 그대로 그래픽을 통해 발생한 상징과 같습니다. 심벌이란 비둘기를 보면 평화를 떠올리는 것인데 이것이 디지털화 된 것이 그래픽 심벌입니다. 예를 들어 애플이라는 기업은 사과가 떠오르고 에르메스라는 기업은 주황색이 떠오르듯이 그래픽심벌이란 디자인을 통해서 기업의 상징을 생성하는 것을 의미합니다.,F,
9,그래픽 심벌에 대해 설명해 주세요.,어떤 사물에 대해서 추상적인 개념을 나타내기 위해서 만들어진 기호나 마크를 가리킵니다. 그러나 꼭 기호나 마크일 필요는 없습니다. 기업의 이미지 자체가 될 수 있습니다. 그래픽 심벌은 이를 시각적으로 기호화한 것이기 때문에 기표와 기의를 반드시 일치시킬 필요가 없습니다.,F,
9,그래픽 심벌에 대해 설명해 주세요.,그래픽 심벌이란 기업뿐만 아니라 개인에게도 적용될 수 있습니다. 요즘 개인 1인 기업의 역할이 중요하게 되면서 개인의 그래픽심벌 역시 등장하였기 때문입니다. 유튜브에 등장하는 썸네일 역시 소비자에게 그 심벌을 인식시켜주는 도구기 때문에 그래픽심벌이라고 통칭할 수 있습니다.,F,
9,픽토그램에 대해 설명해 주세요.,"그림과 전보의 합성어로, 국제적인 행사 등에서의 사용을 목적으로 제작된 그림문자이자, 언어를 초월해서 직감으로 이해할 수 있도록 표현된 그래픽 심벌을 말합니다. 픽토그램은 의미하는 내용을 상징적으로 시각화하여 사전에 교육을 받지 않고도 모든 사람이 즉각적으로 이해할 수 있어야 하므로 단순하고 의미가 명료해야 합니다.",P,직감에 대해 설명해 주세요.
9,픽토그램에 대해 설명해 주세요.,"픽토그램이 가장 먼저 발달한 곳은 미국으로 1920년대부터 교통표지 매뉴얼을 사용하였습니다. 영국은 1948년 런던 올림픽에서 픽토그램을 처음 사용하였고, 일본은 1964년 도쿄 올림픽을 위한 그림표지 개발을 위해 사용하기 시작했습니다. 국제표준화기구는 나라별로 달리 사용해 온 픽토그램을 국제표준화하는 작업을 진행 중에 있습니다.",P,픽토그램을 국제표준화하는 이유를 설명해 주세요.
9,픽토그램에 대해 설명해 주세요.,"우리나라의 경우 외국에서 제작한 픽토그램을 모방하거나 각종 기관ㆍ기업이 자체적으로 만들어 사용해 오다, 2002 한일 월드컵을 앞두고 픽토그램 표준화 작업을 추진하기 시작하였습니다. 그 결과 2001년 지하철, 화장실 등 30종, 2002년 버스, 소화기 등 70종 등을 국가표준으로 제정하였습니다. ",P,국가표준으로 제정된 70종의 픽토그램에 대해 설명해 주세요.
9,픽토그램에 대해 설명해 주세요.,"픽토그램이란 그림을 통해서 이야기를 전달하는 것을 말하며 그래픽 심벌과 구분됩니다. 그래픽 심벌은 추상적인 내용을 기입하는 형태이지만 픽토그램은 구체적 형태를 지닌 대상을 변형,조작하여 나타나기 때문입니다. 따라서 원 대상을 단순화하고 의미를 명료하게 하는 작업을 통해 대상을 손쉽게 이해하는 작업을 필요로 합니다.",F,
9,픽토그램에 대해 설명해 주세요.,픽토그램은 이집트 고대문명에서도 존재하였습니다. 이집트의 신 라의 형상을 해로 표현하는 것에 근원을 두는 것을 픽토그램이라고 할 수 있습니다. 이처럼 구체적 대상이 있는 것을 단순화시켜서 대중들에게 각인하는 것이 픽토그램의 역할이라고 할 수 있습니다.,F,
9,픽토그램에 대해 설명해 주세요.,픽토그램은 표준화 작업이 필요합니다. 국민과 픽토그램으로 원활한 의사소통이 가능하기 위해서는 국가가 형식을 부여할 필요가 있습니다. 고속도로의 제한속도 유지표시나 길가에 있는 표지판 등이 픽토그램의 일종입니다. 따라서 국가는 해당 픽토그램에 대한 영구적인 지적재산권을 가지고 있으며 픽토그램이 확정되면 결코 변경하지 않습니다. 변경되게 되면 픽토그램에 혼란이 일어나 제 기능을 할 수 없기 떄문입니다.,F,
9,캘리그라피에 대해 설명해 주세요,"어원적으로는 ‘아름답게 쓰다’의 뜻으로 동양에서 일컫는 서예에 해당합니다. 원래는 붓이나 펜을 이용해서 종이나 천에 글씨를 쓰는 것으로서, 비석 등에 끌로 파서 새기는 에피그래피와는 구분지어졌으나, 비문 등도 아름답게 씌어진 것은 캘리그래피에 포함됩니다. 중국 등에서 고도로 발달하여 독립된 장르를 형성하고 있으며 이슬람 권에서도 중요시되고 있습니다.",P,이슬람권에서 캘리그라피가 중요한 이유를 설명해 주세요.
9,캘리그라피에 대해 설명해 주세요,"캘리그라피란 '손으로 그린 문자'라는 뜻이나, 조형상으로는 의미전달의 수단이라는 문자의 본뜻을 떠나 유연하고 동적인 선, 글자 자체의 독특한 번짐, 살짝 스쳐가는 효과, 여백의 균형미등 순수 조형의 관점에서 보는 것을 뜻합니다. 즉, 개성적인 표현과 우연성이 중시되는 캘리그라피는 기계적인 표현이 아닌 손으로 쓴 아름답고 개성있는 글자체입니다. ",P,글자체의 특징을 설명해 주세요.
9,캘리그라피에 대해 설명해 주세요,"서양에서는 실용적인 면에서 글씨체를 중시한 중세에 발달하다가 르네상스 이후 회화 분야에서 완전히 자취를 감추었으나, 20세기 들어 부활하였습니다. 외부 현실의 재현을 중요한 목표로 삼았던 사실주의가 19세기 말에 퇴조하면서 선이나 형태 자체의 아름다움이 재인식되었기 때문이었습니다.",P,르네상스에 대해 설명해 주세요.
9,캘리그라피에 대해 설명해 주세요,"캘리그라피는 글자를 그림처럼 예쁘게 그리는 것을 의미하는데 2015년 경부터 우리나라에서 유행하기 시작하였습니다. 그러나 글씨는 그림에 비해서 대상에게 직관적으로 각인되는게 어렵고, 문자의 종류에 따라서 그 형식이 천차만별이기 때문에 근래에는 자주 사용되는 디자인은 아닙니다.",F,
9,캘리그라피에 대해 설명해 주세요,캘리그라피란 손으로 그린 문자라는 뜻으로 의미전달의 수단이라는 문자의 본 기능을 강조하는 역할을 합니다. 보다 디자인적으로 우수한 글씨를 시청자에게 보여줌으로써 대상을 각인시키는 역할을 하기 때문입니다. 따라서 원활한 의사소통을 가능하게 하는 좋은 수단입니다.,F,
9,캘리그라피에 대해 설명해 주세요,캘리그래피는 문자가 정보전달 뿐 아니라 예술이 될 수 있다는 믿음하에 모더니즘의 해체주의에 영향을 받아서 발전한 꽤 현대적인 디자인 기법입니다. 우리나라에는 과거에 서예라는 기법이 있었으나 이는 디자인보다 정보전달의 명확성을 위해 제작되었기 때문에 캘리그라피와는 거리가 있습니다.,F,
9,팝아트에 대해 설명해 주세요,"팝 아트는 텔레비전이나 매스 미디어, 상품광고, 쇼윈도, 고속도로변의 빌보드와 거리의 교통표지판 등의 다중적이고 일상적인 것들 뿐만 아니라 코카 콜라, 만화 속의 주인공 등 범상하고 흔한 소재들을 미술 속으로 끌어들임으로써 순수예술과 대중예술이라는 이분법적, 위계적 구조를 불식시켰습니다.",P,매스미디어에 대해 설명해 주세요.
9,팝아트에 대해 설명해 주세요,팝 아트는  산업사회의 현실을 미술 속에 적극적으로 수용하고자 한 긍정적인 측면을 지니고 있습니다. 그러나 한편으로는 다다이즘에서 발원하는 반 예술의 정신을 미학화시키고 상품미학에 대한 진정한 비판적 대안의 제시보다 소비문화에 굴복한 것으로 볼 수 있습니다.,P,다다이즘에 대해 설명해 주세요.
9,팝아트에 대해 설명해 주세요,"미국 팝 아트의 대표적 작가 중 가장 많은 논의를 불러일으킨 작가는 워홀입니다. 그는 마릴린 먼로, 엘비스 프레슬리 등 대중문화의 스타나 저명인사들을 캔버스에 반복적으로 묘사하거나 임의적인 색채를 가미함으로써 순수고급예술의 엘리티시즘을 공격하고 예술의 의미를 애매모호하게 만드는 일련의 작품을 발표했습니다.",P,엘리티시즘에 대해 설명해 주세요.
9,팝아트에 대해 설명해 주세요,"팝 아트는 텔레비전이나 매스 미디어, 상품광고, 쇼윈도, 고속도로변의 빌보드와 거리의 교통표지판 등의 다중적이고 일상적인 것들 뿐만 아니라 코카 콜라, 만화 속의 주인공 등 범상하고 흔한 소재들을 미술 속으로 끌어들임으로써 순수예술과 대중예술이라는 이분법적, 위계적 구조를 불식시켰습니다.",F,
9,팝아트에 대해 설명해 주세요,팝 아트는  산업사회의 현실을 미술 속에 적극적으로 수용하고자 한 긍정적인 측면을 지니고 있습니다. 그러나 한편으로는 다다이즘에서 발원하는 반 예술의 정신을 미학화시키고 상품미학에 대한 진정한 비판적 대안의 제시보다 소비문화에 굴복한 것으로 볼 수 있습니다.,F,
9,팝아트에 대해 설명해 주세요,"미국 팝 아트의 대표적 작가 중 가장 많은 논의를 불러일으킨 작가는 워홀입니다. 그는 마릴린 먼로, 엘비스 프레슬리 등 대중문화의 스타나 저명인사들을 캔버스에 반복적으로 묘사하거나 임의적인 색채를 가미함으로써 순수고급예술의 엘리티시즘을 공격하고 예술의 의미를 애매모호하게 만드는 일련의 작품을 발표했습니다.",F,
9,시각 디자인의 기본 원리에 대해 설명해 주세요,"우리 눈으로 보는 영상을 포함한 시각적인 대상은 몇 가지 기본 원리의 틀로 해석할 수 있습니다. 통일성, 균형, 시각적 긴장감, 리듬, 황금 비율, 대비, 질감, 방향성 등은 각각 우리의 시각 해석에 중요한 요소들입니다. 전체의 틀 속에서 해석해야 하는 통일성은 질서가 있고, 구조화되어 있으며 때에 따라서는 구성이 고의로 만들어져도 됩니다.",P,통일성과 질서에 대해 설명해 주세요.
9,시각 디자인의 기본 원리에 대해 설명해 주세요,"시각적 균형은 프레임에서 각각 고유한 시각적 무게가 있다는 전제에서 시작합니다. 시각적 무게는 주로 크기로 결정되지만 위치, 색, 피사체 자체의 중요성에 의해서도 결정됩니다. 균형은 불균형의 전제 속에서 존재한다는 점을 명심해야 합니다. 대비는 어떤 사물을 바라볼 때 그것의 반대를 통해서 대상 사물의 본질을 파악한다는 데서 시작합니다. ",P,시각적 무게에 대해 설명해 주세요.
9,시각 디자인의 기본 원리에 대해 설명해 주세요,균형과 불균형은 프레임 내에서 상호작용을 합니다. 그리고 그 과정에서 시각적 긴장감이 형성됩니다. 반복되거나 비슷한 요소들이 화면 내에서 구조화되면 리듬을 만들어 낼 수 있습니다. 프레임을 가로 세로 2개의 선으로 9분할하는 황금분할은 화면구성에 중요한 수단입니다. 9분할한 후 그 4개의 점과 선 위에 물체를 배치하면 역동적이 됩니다.,P,황금분할의 예제에 대해 설명해 주세요.
9,시각 디자인의 기본 원리에 대해 설명해 주세요,"시각 디자인의 기본 요소로는 시각적 긴장감, 리듬, 비율, 대비, 질감, 방향성 등이며 시각 해석에 중요한 요소들로 평가되었었지만, 해체주의의 등장과 대중적인 요소가 디자인의 수요를 지배하면서 부차적인 것으로 전락하였습니다. 요즘은 시각디자인을 보다 우스꽝스럽게 디자인함으로써 그 퀄리티보다는 대중의 각인을 우선시하는 것을 목표로 하고 있습니다.",F,
9,시각 디자인의 기본 원리에 대해 설명해 주세요,디자인의 기본 원리는 균형과 비율입니다. 디자인의 비율은 대부분 황금비율로 사용되고 있으며 균형은 좌우대칭으로 하는 것이 일반적입니다. 인지심리학 상 황금비율과 좌우대칭이 시각적으로 가장 아름다우며 직관적으로 각인되기 쉽기 떄문입니다. 따라서 모든 디자인의 우수도를 판단할 때 위 두 개의 항목으로 판단하는 이유는 이 두 대상이 디자인의 기본 원리를 평가하는 가장 기초적인 단위이기 떄문입니다.,F,
