CODE,Q1,A1,P/F,Q2
10,제품 디자인이 무엇인지 설명해 주세요.,일본의 에도 시대의 등불을 예제로 생각해보면 손으로 그려 넣은 디테일을 가진 장식이 조명의 근본적인 기능을 심미적 국면으로 나타나게 해주었습니다. 어떤 물건은 기능을 향상시키는 외관을 가지게 될 때 비로서 바람직한 제품이 될 수 있습니다. 즉 미술과 공예 기술을 통한 개인화의 결과로 제품의 상품가치가 높아질 수 있습니다.,P,심미적인 부분을 강조해서 제품의 상품가치를 높이는 것이 왜 중요한지 설명해 주세요.
10,제품 디자인이 무엇인지 설명해 주세요.,제품 디자인이란 제품의 용도와 관련없이 대상의 심미성을 보완하여 다른 제품과의 차별화를 시키는 것을 말합니다. 예를 들어 컵과 같은 경우 그 용도는 모두 같지만 디자인에 의해 차별점이 발생합니다. 실용성은 제품 디자인에 속하지 않습니다.,F,
10,제품 디자인이 무엇인지 설명해 주세요.,제품의 외관을 제품디자인이라고 합니다. 제품은 외관적으로 아름다울 때 상품가치가 높기 떄문에 제품 디자인은 소비자의 이목을 집중시키는 디자인을 선호하게 됩니다. 그러나 제품 디자인은 제품의 인플레이션을 유발하는 단점이 있어 현재는 모든 기초적 제품의 디자인을 일원화하였습니다,F,
10,제품 디자인이 무엇인지 설명해 주세요.,"제품 디자인의 역사는 굉장히 짧습니다. 20세기에는 제품의 실용성을 중심으로 생산되었지만, 포스트모더니즘의 도래로 인해 최초로 제품 역시 심미적인 만족감을 소비자에게 주어야 한다는 의무가 발생함에 따라서 제품 디자인 산업이 활성화되었습니다.",F,
10,하이브리드 제품의 특징에 대해 설명해 주세요.,하이브리드 제품은 두개 이상의 물건이 통합되어서 어떤 새로운 것이 만들어지지만 여전히 이전의 실물과 시각적 관련성을 가지고 있을 때 형성됩니다. 이러한 혼성 행위는 제품의 적합성에 문제를 제기하는 도발적인 방식이며 제품 자체의 존재 이유를 뒷받침하는 기초적 진리가 무엇인지 관심을 자극합니다.,P,"와인잔과 초인종의 혼성행위로 기대되는 시각적, 청각적 요소에 대해 설명해 주세요."
10,하이브리드 제품의 특징에 대해 설명해 주세요.,하이브리드 제품은 진보적 사고 요소를 통해 만들어 졌습니다. 본래 물건이 개별적으로 가지고 있는 특질은 바라던 효과를 주기 위해 강화되거나 억제될 수 있습니다. 이러한 접근 방식의 디자인으로 많은 제품들이 개발되었고 우리는 그러한 제품들을 통해 기능성과 심미성과 의미를 전달하는 새로운 방식을 경험하게 됩니다.,P,하이브리드 제품처럼 새로운 방식으로 디자인 된 예제를 설명해 주세요.
10,하이브리드 제품의 특징에 대해 설명해 주세요.,"하이브리드 제품이란 두 가지 소재가 통합되어 하나의 물건으로 만드는 것을 의미합니다. 에를 들어, 카페에서 자주 사용되는 테이크아웃 컵의 경우 종이형 몸통과 플라스틱 닫개를 가지고 있는데 이 역시 하이브리드 제품으로 규정되고 있습니다.",F,
10,하이브리드 제품의 특징에 대해 설명해 주세요.,하이브리드 제품은 두 가지 이상의 물건이 통합되어 새로운 물건으로 발전된 제품을 의미합니다. 현재 시중에 판매되고 있는 대부분의 제품이 하이브리드성을 띄고 있으며 이로 인해 하이브리드 제품이라는 용어가 현재는 사용되고 있지 않습니다,F,
10,하이브리드 제품의 특징에 대해 설명해 주세요.,"하이브리드 제품은 대상의 심미성이 아닌 실용성을 위해서 혼성되어 새롭게 만들어진 제품을 의미합니다. 제품의 적합성을 발전시키기 위한 구성방식이며, 기존 제품과의 실용적 관련성만 존재한다면 하이브리드 제품으로 정의하고 있습니다",F,
10,기술발전이 디자이너와 실수요자의 관계에 미친 효과에 대해 설명해 주세요.,패션의 통화침투이론에서는 정보의 흐름이 오로지 실수요자를 지향하는 방향으로 움직입니다. 기술의 발전으로 이제는 디자인 프로세스 내의 모든 부분과 그보다 더 중요하게는 고객에 대한 자세한 정보를 입수할 수 있습니다. 디자이너는 고객이 요구사항에 관해 가능한 많은 정보를 얻어야 최고의 디자인 해법을 찾을 수 있습니다.,P,통화침투이론에 대해 설명해 주세요.
10,기술발전이 디자이너와 실수요자의 관계에 미친 효과에 대해 설명해 주세요.,"리서치는 특정한 제품 측면의 주요 쟁점들에 대해 고객 견해의 우선순위를 규정하고 정리하는데 도움을 주며 오늘날과 같은 정보의 시대에는 이러한 리서치자료를 쉽게 공급받을 수 있습니다. 또한 정보는 디자인과 생산, 마케팅, 회계, 고객연락 등 여러가지 부문 사이에서 자유롭게 순환할 수 있습니다.",P,제품디자인을 수행하기 앞서 필요한 리서치에 대해 설명해 주세요.
10,기술발전이 디자이너와 실수요자의 관계에 미친 효과에 대해 설명해 주세요.,기술이 발전함에 따라 제품에 사용되는 모든 기술이 상향평준화 되었고 이로 인해 제품 생성자는 소비자의 이목을 끌기 위해서 디자인에 관심을 갖게 되었습니다. 하지만 이 역시 제품의 통일적인 행태를 막지는 못했습니다.,F,
10,기술발전이 디자이너와 실수요자의 관계에 미친 효과에 대해 설명해 주세요.,"소비자의 니즈를 파악하는 것이 제품의 기능 뿐 아니라 디자인까지 확대됨에 따라서 디자이너와 실수요자의 관계가 생성되었습니다. 그러나, 디자인의 경우 소비자의 니즈의 부가적인 요소이기 떄문에 이를 고려하지 않은 제품이 현재까지는 더 많습니다",F,
10,기술발전이 디자이너와 실수요자의 관계에 미친 효과에 대해 설명해 주세요.,실수요자의 니즈를 충족하기 위해서는 니즈에 대한 정보를 파악하는 것이 중요합니다. 그러나 디자인에 대한 소비자의 개별 차이가 너무 크기 때문에 현재는 가장 대중적인 디자인을 제품에 사용하게 되었고 이로 인해 디자인이 일원화되었습니다.,F,
10,기술발전이 디자이너와 실수요자의 관계에 미친 효과에 대해 설명해 주세요.,정보의 흐름은 전체론적 관점에서 모든 부문에 효율을 더하고 앞으로의 디자인 리서치와 개발을 위한 잠재적 영역을 정확히 지적할 수 있으며 기존 디자인에 대한 제품 다양화도 이룰 수 있습니다. 가장 큰 긍정적 영향으로는 고객의 니즈와 요구를 확인할 수 있다는 점 입니다.,P,기존 디자인에 대해 제품의 다양화가 이뤄진 사례에 대해 설명해 주세요.
