CODE,Q1,A1,P/F,Q2
11,디지털 마케팅에 대해 설명해 주세요.,"인터넷을 기반으로 하는 장치를 통해 온라인 광고로 소비자들에게 제품과 서비스를 알리고, 판매하는 것입니다. 웹 브라우저, 스마트폰, 게임, 등이 대표적인 인터넷 기반장치의 예입니다. 기술이 발달하고 많은 장치와 기기들이 인터넷 검색기능을 제공하면서, 디지털 마케팅의 잠재성이 점진적으로 실현되고 있는 추세입니다.",P,웹브라우저에 대해 설명해 주세요.
11,디지털 마케팅에 대해 설명해 주세요.,"인터넷 마케팅, 온라인 마케팅, 웹 마케팅, SNS 마케팅, 모바일 마케팅 등 우리가 일상적으로 사용하는 여러 IT 기술 기반 마케팅을 모두 포괄하는 개념입니다. 콘텐츠 마케팅이나 소셜 마케팅, 앱 마케팅, 온라인 마케팅 등 각종 디바이스와 플랫폼의 변화에 따라 생겨난 마케팅의 여러 분야를 모두 아울러 보는 광의의 프레임워크가 바로 디지털 마케팅입니다.",P,앱 마케팅에 대해 설명해 주세요.
11,디지털 마케팅에 대해 설명해 주세요.,기존 마케팅 활동에서 장애요인으로 작용했던 시간·공간의 장벽이 허물어지고 기업과 고객이 상호 연결되어 가치를 만들어 가는 통합형 네트워크 마케팅을 말합니다. 구체적으로 디지털 쿠폰·팩스·셀룰러 폰·인터넷·이메일 등 디지털 기술을 응용한 제품이 이용되는 모든 비상업적 활동이 이에 속합니다.,F,
11,디지털 마케팅에 대해 설명해 주세요.,"오프라인을 기반으로 하는 장치를 통해 판촉물광고로 소비자들에게 제품과 서비스를 알리고, 판매하는 것입니다. 웹 브라우저, 스마트폰, 게임, 등이 대표적인 인터넷 기반장치의 예입니다. 기술이 발달하고 많은 장치와 기기들이 인터넷 검색기능을 제공하면서, 디지털 마케팅의 잠재성이 점진적으로 축소되고 있는 추세입니다.",F,
11,디지털 마케팅에 대해 설명해 주세요.,"인터넷 마케팅, 온라인 마케팅, 웹 마케팅, SNS 마케팅, 모바일 마케팅 등 우리가 평소에 사용하지 않는 오프라인 기반 마케팅을 모두 포괄하는 개념입니다. 콘텐츠 마케팅이나 소셜 마케팅, 앱 마케팅, 온라인 마케팅 등 각종 디바이스와 플랫폼의 변화에 따라 생겨난 마케팅의 여러 분야를 모두 아울러 보는 광의의 프레임워크가 바로 디지털 마케팅입니다.",F,
11,마케팅 도구로서의 SNS에 대해 설명해 주세요.,"트위터나 페이스북과 같은 SNS를 '마케팅 도구'로 간주하는 관점이 있습니다. 비즈니스나 정치 캠페인 영역이 이런 관점을 보여 주는 대표적인 부문입니다. 특히 '소셜 미디어 마케팅'이라 불리는 SNS 활용 마케팅은 SNS를 통해 웹 사이트 트래픽이나 소비자의 주의를 끌고자 하는 마케팅 방식, 과정, 전략을 의미합니다.",P,트위터의 특징을 설명해 주세요.
11,마케팅 도구로서의 SNS에 대해 설명해 주세요.,"하나의 미디어나 미디어 서비스를 마케팅 도구로 보는 관점이 트위터나 페이스북을 계기로 처음 등장한 것은 아니며, 이른바 뉴미디어가 등장한 직후에는 이런 관점은 거의 예외없이 관찰됩니다. 미디어가 새로 등장하면 이의 상업적 활용을 모색하는 것은 보편적 현상인 듯합니다.",P,뉴 미디어에 대해 설명해 주세요.
11,마케팅 도구로서의 SNS에 대해 설명해 주세요.,"소셜 미디어라는 용어가 등장한 배경을 보면, SNS를 마케팅 도구로 간주하는 입장을 다시 확인할 수 있습니다. 홍보회사인 시프트커뮤니케이션스의 토드 데프런은 2006년 업계에서는 최초로 언론 홍보를 위한 소셜 미디어 탬플릿을 개발한 바 있습니다. 이처럼 '소셜 미디어'는 IT 기업을 중심으로 그 개념이 성장하였습니다.",P,토드 데프런이 개발한 탬플릿을 설명해 주세요.
11,마케팅 도구로서의 SNS에 대해 설명해 주세요.,"트위터나 페이스북과 같은 SNS를 '마케팅 도구'로 간주하는 관점이 있습니다. 비즈니스나 정치 캠페인 영역이 이런 관점을 보여 주는 대표적인 부문입니다. 특히 '소셜 미디어 마케팅'이라 불리는 SNS 활용 마케팅은 오프라인을 통해 웹 사이트 트래픽이나 소비자의 주의를 끌고자 하는 마케팅 방식, 과정, 전략을 의미합니다.",F,
11,마케팅 도구로서의 SNS에 대해 설명해 주세요.,"하나의 미디어나 미디어 서비스를 마케팅 도구로 보는 관점이 트위터나 페이스북을 계기로 처음 등장한 것은 아니며, 이른바 뉴미디어가 등장하기 전부터 이런 관점은 거의 예외없이 관찰됩니다. 미디어가 새로 등장하면 이의 상업적 활용을 모색하는 것은 보편적이지 않은 현상인 듯합니다.",F,
