CODE,Q1,A1,P/F,Q2
15,인슐린 주사 방법에 대해 설명해주세요,"인슐린 주사에 있어서는 용량조절이 필요합니다. 인슐린 주사제 중, 펜형 인슐린의 경우에는 인슐린 내부에 양이 충분히 남아있는지 확인하고 고무마개 부분을 알코올솜으로 소독한 뒤, 펜니들의 종이 덮개를 떼어내야 합니다. 그리고 이후에는 고무막 중앙에 펜니들을 똑바로 맞추어 돌려끼우고, 바늘을 천천히 올려, 주사할 용량만큼 다이얼을 돌려 맞춰야 합니다. 한편, 주의사항으로는 제 1형 당뇨인은 체내에서 인슐린이 만들어지지 않기 때문에 기저 인슐린과 식전 인슐린이 모두 필요하고, 이를 하루 총 4회 투약하여 혈당을 조절해주어야 한다는 것이 있습니다.",P,펜형 인슐린에 대해 설명해주세요
15,인슐린 주사 방법에 대해 설명해주세요,"인슐린은 신경, 혈관의 분포가 저고 관절 부위를 피하여 주사할 수 있는 피하지방층을 이용하여 주사해야 합니다. 주사부위로 이용할 수 있는 부위는 복부, 팔 윗부분의 바깥쪽, 허벅지의 바깥쪽, 엉덩이 등이 있는데 이 중에서 가장 추천되는 곳은 복부입니다. 인슐린 펜을 손바닥 사이에서 10회 이상 굴려주는 것이 중요하며 주사 후에는 주사바늘 겉뚜껑을 끼운 후, 반대방향으로 돌려서 바늘을 제거화고, 펜뚜껑을 씌워서 실온에서 보관하여 재사용을 미연에 방지해야 합니다. 그리고, 냉장고에서 금방 꺼낸 인슐린은 너무 차가워 피부에 자극을 주므로 주사 시 통증을 유발할 수 있습니다. 그러므로 주사 전, 미리 실온에 꺼내 두었다가 상온에서 주사하는 것이 좋습니다.",P,피하지방층에 대해 설명해주세요
15,인슐린 주사 방법에 대해 설명해주세요,손을 씻지 않고 양 손바닥에 인슐린 병을 올린 후 기포가 생기지 않도록 살살 굴립니다. 그 후로 약물의 색깔을 균일하게 만든 다음에 환자를 안심시키고 인슐린을 주사하는 것이 좋습니다.,F,
15,인슐린 주사 방법에 대해 설명해주세요,"알코올 솜으로 주사 부위를 소독하고, 알코올이 마르기 전에 즉시 주사 바늘을 넣어 투약합니다. 이때 각도는 최대한 0도 각도로 만들어 출혈양을 최소화하는 것이 좋습니다. 바늘을 투약한 직후에 바로 뺍니다.",F,
15,인슐린 주사 방법에 대해 설명해주세요,주사후에는 환자가 고통을 느낄 수 있으므로 고통을 완화하기 위해 즉각 바늘을 빼고 소독한 솜을 이용하여 10초 이상 문지르도록 합니다. 이때 급격하게 바늘을 빼면 혈당이 떨어질 수 있으므로 주의해야합니다.,F,
15,근육 주사 시 주의사항이나 장단점 및 고려사항 등에 대해 말씀해주세요,"근육 주사 시에는 90도로 신속히 찌른 후, 내관을 당겨 혈액이 나오는지 확인해야 합니다. 혈액이 나온다면 잘못 주사된 경웅므로, 주입하지 않고 신속히 제거해야 하는 것이 원칙입니다. 나아가, 90도로 신속히 찔러, 내관을 당겨도 혈액이 나오지 않으면 올바르게 주사한 경우이므로 약물을 천천히 주입하여 통증을 경감할 수 있습니다. 한편, 철분제제나 페니실린계 약물의 경우에는 z-track 기법을 이용할 수도 있습니다. 해당 기법은 지그재그 주사법으로 피하조직의 자극을 줄여, 통증과 불편감을 감소시키는 방식입니다.",P,내관이 무엇인지 설명해주세요
15,근육 주사 시 주의사항이나 장단점 및 고려사항 등에 대해 말씀해주세요,"근육주사를 하는 이유는 첫째, 근육조직으로 깊숙이 투여하기 위해 둘째, 경구투약과 피하주사보다 빠르게 작용하기 위해, 셋째, 다른 경로에 투약이 불가능한 경우, 넷째 피하조직에 자극을 주는 약물을 안전하게 투여하기 위해서입니다. 그리고 정확한 주사 위치는 둔부의 배면으로 좌골신경 손상, 대혈관, 뼈와 인접한 부위로 정확한 주사 방법이 요구되며 다른 부위로는 둔부의 복면이 신경과 가장 멀어 권장되고 있습니다. 사실, 주사부위 근처를 찰싹 때리며 주사하는 것은 이론 상 권장하는 방법은 아니며 소독한 부위가 오염될 수 있기 때문에 이를 최대한 기피해야 합니다. 하지만 환자의 통증을 이유로 실무에서는 이와 같은 행위가 빈번히 발생하고 있습니다.",P,경구투약 시 주의사항에 대해 설명해주세요
15,근육 주사 시 주의사항이나 장단점 및 고려사항 등에 대해 말씀해주세요,"근육주사는 피하조직보다 다량의 약물을 주입할 수 있다는 장점을 지니고 있으나, 신경과 혈관 손상의 위험이 있습니다. 주사부위를 정하고 주사부위를 소독한 두, 한손으로는 피부를 당기고 다른 한손으로는 연필 잡듯 잡고 90도로 주사기를 주입하는 방식으로 주사되며 통증을 감소시키기 위해서느 근육을 충분히 이완시킨 뒤 주사하고, 가능하담ㄴ 재빨리 찌르고 천천히 약물을 주입한 뒤, 재빨리 뽑아야 합니다. 아울러,계속해서 주사를 맞을 시 부위를 바꾸어 적용할 필요성이 있습니다.",P,피하조직에 대해 설명해주세요
15,근육 주사 시 주의사항이나 장단점 및 고려사항 등에 대해 말씀해주세요,"근육층이 두꺼운 중든근을 이용하며, 이 부위를 선택할 경우에는 좌골 신경과 주요 혈관 및 골조직의 손상을 피하도록 조심해야합니다. 이때 둔부를 3등분한 상외측 부위의 하외 측면을 선택하게 됩니다.",F,
15,근육 주사 시 주의사항이나 장단점 및 고려사항 등에 대해 말씀해주세요,둔부의 복면을 사용하는 것은 소아에게는 적합하지 않습니다. 집게손가락을 전상 장골극에 올려놓고 가운데 손가락을 최대한으로 좁혀서 투약합니다. 검지와 중지로 형성된 V가 정확한 주사부위가 됩니다.,F,
