CODE,Q1,A1,P/F,Q2
18,사무의 의미를 설명해 주세요.,자신이 맡은 직책에 관련된 여러 가지 일을 처리하는 일로서 주로 책상에서 문서 따위를 다루는 일을 말합니다. 전통적 의미에 있어서의 사무의 개념은 문서의 기록과 보관을 뜻하였으나 현대적인 사무의 개념은 행정 및 경영활동의 진행을 간접적으로 촉진하고 이들 활동 간에 일정한 질서를 유지하도록 작용하는 것을 뜻합니다.,P,사무의 개념에서 기록과 보관이 중시되었던 이유를 설명해 주세요.
18,사무의 의미를 설명해 주세요.,사무는 기업이 운영하는 모든 업무를 포괄적으로 아우르는 말입니다. 주로 자신이 맡은 직책에 대한 것으로 꼭 책상에서 문서 따위를 다루는 일만을 의미하지 않습니다. 사무는 그의미가 포괄적이기 때문에 기업에서 노동하는 모든 이를 사무의 범위에 포함시켜도 됩니다.,F,
18,사무의 의미를 설명해 주세요.,사무는 기업이 발생시키는 데이터를 처리하여 가공하거나 정보로 바꾸는 행위를 하는 것을 말합니다. 따라서 사무의 범위는 굉장히 협소하며 사무 자체가 존재하지 않는 기업도 존재합니다. 이들은 보통 생산업을 하는 곳으로 이들은 사무보다 생산에 초점을 맞추기 때문에 사무가 필요하지 않습니다.,F,
18,사무의 의미를 설명해 주세요.,"사무는 개인적인 개념입니다. 자신이 맡은 직책에서 자신의 일을 처리하는 것을 사무라고 볼 수 있습니다. 그렇기 때문에 사무는 기업의 용어가 아니라 사적인 용어로도 쓰일 수 있습니다. 예를 들어,학생의 사무는 공부이고 부모의 사무는 양육으로 이해될 수 있습니다.",F,
18,사무의 의미를 설명해 주세요.,"사무는 조직이나 단체 운영에서 사용하는 각종 정보 작성, 전달, 보관하는 작업을 포괄적으로 아우르는 말입니다. 기능면에서는 활동과 활동을 서로 연결시키는 결합기능으로서 정보처리기능을 의미합니다. 통상 업무와 같은 의미로 사용되며, 사무에는 인간의 행위 중 법률적 행위와 사실적 행위가 포함되나 단순한 부작위는 업무라고 할 수 없습니다.",P,단순한 부작위에 대해 설명해 주세요.
18,사무관리에 대해 설명해 주세요.,"기업이 대규모화하고 복잡해지면 사무량이 급속히 늘어나 사무부문과 사무원의 비중이 커지며, 사무활동의 전부가 커다란 영향을 미치게 됩니다. 이는구매·제조·판매와 같은 직능적 업무활동에 대해서뿐만 아니라, 경영자나 관리자가 장·단기, 구조적·운용적 문제에 관한 의사결정을 내리는 경우에 그 효율에 대해서 결정적인 영향을 미칩니다.",P,경영자의 의사결정에 영향을 미치는 부분을 설명해 주세요.
18,사무관리에 대해 설명해 주세요.,"사무계획에는 각종 사무의 흐름을 분석하여 애로나 결함을 시정하는 사무공정 분석, 사무공정을 형성하는 각 사무작업 자체의 능률화를 꾀하는 사무개선, 사무량 측정, 사무할당, 사무표준화, 문서·장표 등의 규격화나 제도화를 꾀하는 문서, 장표 계획, 사무기계화 계획, 사무예산의 편성, 사무품질 계획 등이 있습니다.",P,사무표준화에 대해 설명해 주세요.
18,사무관리에 대해 설명해 주세요.,사무관리란 기업이 대형화되면서 사무량이 늘어남에 따라 사무에 관련된 문서를 체계적으로 분석하는 것을 말합니다. 이는 제품 자체에 대한 사무뿐만 아니라 인사구조에 대한 사무를 포함합니다. 최근에는 사무관리의 유무에 따라 대기업과 중소기업을 나누기도 합니다.,F,
18,사무관리에 대해 설명해 주세요.,사무조직 중 사무관리 조직의 정비를 하는 부서가 있습니다. 업무활동과 밀접한 사무에 대해서 전문적으로 조직하는 것인데 이들이 한 기업의 사무관리를 중점적으로 주도합니다. 그러나 사무관리는 반드시 기업에서 해야하는 것이 아닌 하나의 옵션으로 고려되기도 합니다.,F,
18,사무관리에 대해 설명해 주세요.,사무관리는 기업의 사무량에 대한 분석을 통해 이뤄집니다. 유동적인 사무량을 정량화함으로써 기업은 평균 사무량의 정도로 기업의 계획을 설립하거나 과거에 일어난 일을 분석하기도 합니다. 단 이 때 사무관리는 효율성을 위해 사무의 측면에서는 배제됩니다.,F,
