CODE,Q1,A1,P/F,Q2
21,카지노에 대해 설명해 주세요.,"룰렛이나 슬롯머신 등의 기기를 사용하고, 돈을 걸고 게임을 하는 장소입니다. 장기 항해를 실시하는 대형 크루즈 여객선에 카지노가 설치되어 있는 경우가 많습니다. 최근 인터넷이 발달함에 따라 모나코를 비롯한 도박이 허가된 나라의 카지노 플로어에 실시간 방송기재들을 설치하여 온라인으로 생방송되어 온라인 도박도 가능합니다.",P,온라인 도박의 특징에 대해 설명해 주세요.
21,카지노에 대해 설명해 주세요.,카지노는 도박 문제 때문에 법적으로 철저한 통제와 관리가 이루어집니다. 그러나 사업적으로 막대한 이익을 주며 지역 경제 활성화에 큰 도움이 되기도 하는 양날의 칼과 같은 사업이기 때문에 이견이 많습니다. 대한민국에서는 강원랜드를 제외한 모든 카지노는 외국인 전용입니다.,P,카지노가 지역 경제에 미치는 영향을 설명해 주세요.
21,카지노에 대해 설명해 주세요.,카지노는 합법적으로 도박을 할 수 있는 시설을 의미합니다. 대한민국의 모든 국민은 성인이 되면 자유롭게 카지노를 출입할 수 있으며 문제가 되는 것은 하루에 사용가능한 금액 제한입니다.,F,
21,카지노에 대해 설명해 주세요.,"대한민국 국민은 해외에 나가서 합법적으로 도박을 할 수 있으며, 입국 시에 세관 신고만 철저히 하면 아무런 문제가 없습니다. 최대 외화 400$으로 도박이 가능하며, 그 이상의 금액은 세금 22%가 발생됩니다.",F,
21,카지노에 대해 설명해 주세요.,"한국인이 국내에서 합법적으로 입장가능한 도박장은 정선 카지노와 파라다이스 호텔이 있습니다. 하지만 모든 성인이 출입가능한 것은 아니며, 여권을 발급받은 적이 있는 성인만 가능합니다.",F,
21,카지노 딜러에 대해 설명해 주세요.,"카지노산업은 많은 국가에서 보편화 된 관광산업으로 고부가가치 외화획득 사업입니다. 우리나라는 1984년 관광진흥법이 발효되어 활성화 되었습니다. 카지노의 꽃이라 불리는 카지노딜러는 기본적으로 바카라, 룰렛, 포커, 블랙잭 등의 게임규칙을 완벽하게 숙지한 상태에서 한 개의 테이블에서 게임을 진행합니다.",P,고부가가치 산업에 대해 설명해 주세요.
21,카지노 딜러에 대해 설명해 주세요.,"딜러의 공인 자격증 제도는 없으나, 카지노업체의 전문딜러 양성과정이 있고 대학에서 전공학과를 개설하여 양성하고 있습니다. 카지노업체에서 채용하여 일정기간 훈련과정을 거치면 카지노딜러로 활동 할 수 있으며 약 3년이 숙련도가 쌓이면 전문딜러로서 활동하게 됩니다.",P,전문 딜러의 특징에 대해 설명해 주세요.
21,카지노 딜러에 대해 설명해 주세요.,"카지노딜러의 업무는 간단히 말해 ‘국제적인 게임 규칙에 의거해 게임을 진행하는 사람’을 말합니다. 모닝타임과 개장 준비를 거친 후 업장이 문을 닫는 새벽까지 테이블을 돌며 게임을 진행합니다. 돈이 오가는 특성상 업무시간 내내 긴장의 연속입니다. 블랙잭, 바카라, 룰렛 등의 게임을 진행하면서 고객의 편의를 위해 각종 서비스를 제공합니다.",P,모닝타임에 대해 설명해 주세요.
21,카지노 딜러에 대해 설명해 주세요.,"카지노 딜러는 카지노에서 게임 진행을 도와주는 사람으로서 카지노에 참여한 손님도 순서에 따라 담당하게 됩니다. 이 경우 손님은 배팅 수수료를 면제 받을 수 있으며, 꽤나 경쟁이 치열한 역할입니다.",F,
21,카지노 딜러에 대해 설명해 주세요.,"딜러의 공인 자격증 제도를 운영하고 있으며, 이를 담당하는 주관부서는 국토교통부입니다. 딜러 자격증을 획득하기 위해서는 일정기간 카지노에서 인턴 경력이 필요하며, 10년마다 갱신이 필요합니다.",F,
21,카지노 딜러에 대해 설명해 주세요.,저부가가치의 사업으로 외화벌이보다는 개인의 효능감 증진을 위해 종사하는 직업입니다. 특히 딜러는 카지노에 소속되어 있지 않은 프리랜서 직업으로 자유롭게 이직이 가능하다는 장점도 있습니다.,F,
21,슬롯 머신에 대해 설명해 주세요.,"동전투입구에 동전을 넣고 작은 창을 보면, 창 속에 몇 개의 짝지어진 그림이 그려져 있는 실린더가 보입니다. 손잡이로 이것을 회전시키다가 정지시켰을 때, 이 그림이 소정의 짝으로 맞으면 몇 배의 동전이 나오게 되어 있습니다. 우리나라 관광호텔 슬롯머신 법적 승률은 87%이며 3년마다 한 번씩 한국 정기검사소에서 검증을 받고 승률을 결정하는 회로기판을 봉인하게 되어 있습니다.",P,정기검사소에 대해 설명해 주세요.
21,슬롯 머신에 대해 설명해 주세요.,"일본의 파친코와 비슷하나 투자금이 적은 대신 손쉽게 많은 금액의 상금을 탈 수 있는 점, 상금이 밑의 동전받이에 금방 나오는 점 등의 이점이 있습니다. 시카고 ·캘리포니아주 등지에서 유행하여 미국 전지역에 퍼졌고, 현재는 미국의 라스베이거스 ·모나코 등의 카지노 및 관광호텔 등에 설치되어 있습니다.",P,파친코에 대해 설명해 주세요.
21,슬롯 머신에 대해 설명해 주세요.,슬롯머신이란 투입구에 동전을 넣고 투기의 수단으로 관광호텔에서 오락하는 것을 말합니다. 세계 최초의 슬롯머신의 이름은 리버티 벨로 1895년 미국의 찰스페아가 만들었습니다. 이것을 모방하여 일본에서 만든 것이 파친코입니다. 파친코는 동전을 사용하는 것이 아니라 구슬을 사용하는 구슬치기의 일종입니다. ,P,리버티 벨에 대해 설명해 주세요.
21,슬롯 머신에 대해 설명해 주세요.,"슬롯머신은 카지노에서 가장 보기 드문 기계이며, 카지노의 성지인 라스베가스로 가더라도 쉽사리 볼 수 없기 때문에 가장 인기가 많은 도박기계이기도 합니다. 보통 한 대 정도가 설치되어 있습니다.",F,
21,슬롯 머신에 대해 설명해 주세요.,"슬롯머신은 일정한 확률로 그림을 맞춰 재화를 획득하는 도박기계입니다. 업주의 마음대로 확률을 조작하는 것이 얼마든지 가능하며, 이로 인해 많은 손님들은 슬롯 머신에서 돈을 잃고는 합니다.",F,
21,슬롯 머신에 대해 설명해 주세요.,"일반적으로 슬롯 머신에서 돈을 따기 위해서는 각각 다른 그림을 맞춰야만하고, 같은 그림 3개가 나오게 되면 투입한 모든 돈을 잃게 됩니다. 이를 방지하기 다양한 숫자와 그림이 들어있습니다.",F,
21,도박개장죄에 대해 설명해 주세요.,"영리의 목적으로 도박장을 개장함으로써 성립하는 범죄입니다. 영리의 목적이란 도박장을 개장한 대가로 도박을 하는 자로부터 입장료·수수료 등의 명목으로 불법적인 재산상의 이익을 얻을 목적을 뜻하며, 도박행위를 통하여 불법 이익을 얻을 목적을 의미하지는 않습니다. ",P,영리의 목적이 의미하는 것을 설명해 주세요.
21,도박개장죄에 대해 설명해 주세요.,"영리의 목적이 있으면 현실적으로 이익을 얻었는지의 여부는 관계없이 범죄가 성립합니다. 도박장을 개장한다는 것은 자신이 주재자가 되어 그 지배하에 도박을 위한 일정한 장소를 제공하는 것을 의미합니다. 주재자가 아니고 단순히 도박장소를 제공한 경우에는 이 죄가 성립하지 않으며, 도박방조죄에 해당됩니다.",P,도박방조죄에 대해 설명해 주세요.
21,도박개장죄에 대해 설명해 주세요.,이 죄가 성립하기 위해서는 영리를 목적으로 해야 한다는 점에서 목적범입니다. 영리라는 목적의 존재가 범죄의 성립요건이 된다는 점에서 목적범 중에서도 진정목적범에 해당됩니다. 범죄의 성격상 이 죄는 도박행위를 교사하거나 준비시키는 예비행위에 불과하지만 인간의 사행심을 이용하여 영리를 꾀하는 점에서 도박행위보다 반사회적인 요소가 더 많다고 보아 단순 도박죄보다 가중처벌합니다.,P,진정목적범에 대해 설명해 주세요.
21,도박개장죄에 대해 설명해 주세요.,영화 타짜에서 볼 수 있는 장면으로 속칭 하우스라고 불리는 장소를 만드는 행위입니다. 하지만 단순 도박죄에 비해서 처벌이 가볍기 때문에 누구나 쉽게 만들 수 있다는 법적 허점이 있습니다.,F,
21,도박개장죄에 대해 설명해 주세요.,"현실적으로 이익을 얻어야먄 범죄가 성립하는 것이 특징입니다. 따라서 도박장을 열었더라도 여러 사정, 혹은 임대료 납부 등으로 인해 개장을 한 자가 이득을 얻디 못하면 죄는 성립하지 않습니다.",F,
21,도박개장죄에 대해 설명해 주세요.,"도박개장죄가 성립하기 위해서는 도박장을 개장한 자도 선수로 참여해 이득을 얻어야만 합니다. 따라서 도박장으로 얻은 수익 이외에, 직접 도박을 하여 얻은 수익이 존재하지 않으면 죄가 성립하지 않습니다.",F,
21,레저산업에 대해 설명해 주세요.,영화 ·연극 ·프로야구 등의 ‘보는 레저’ 및 골프 ·스키 ·테니스 ·수영 등 운동을 주로 하는 ‘행동 레저’ 외에 악기 ·카메라 등의 ‘취미 레저’와 여행업 ·여관업 ·요식업 등을 포함합니다. 원래 여가활동을 레크리에이션이라고 할 경우 여기에 제공 또는 사용되는 온갖 기구 ·용품 ·소비품 등을 공급하는 산업을 레저산업이라고 규정합니다.,P,보는레저와 행동레저를 비교해서 설명해 주세요.
21,레저산업에 대해 설명해 주세요.,"경제의 고도성장기에는 레저인구가 늘게 되고 그럴수록 레저도 대형화하여 보거나 듣는 레저에서 참여하는 레저, 행동하는 레저로 전환하는 경우가 많습니다. 반대로 경제가 저성장기가 되면 도시 근교에서 즐길 수 있는 근교 레저가 성행하게 됩니다. 레저산업의 범주에는 외식산업 ·숙박업 ·관광여행 ·개최물 등 여러 가지가 포함됩니다.",P,근교레저에 대해 설명해 주세요.
21,레저산업에 대해 설명해 주세요.,"여가산업을 말합니다. 즉 여가활동에 의한 향락욕구충족을 그 목적으로 하는 재화 및 서비스 생산에 종사하는 산업을 의미합니다. 레저 상품 산업과, 레저 서비스 산업이 있습니다. 여가를 즐기는 사람들을 대상으로 하는 유흥·오락·관광 사업 등을 말하며 경제가 성장하여 국민 생활이 풍요로워지면 자연히 레저 붐이 일어나는 데 착안한 산업입니다.",P,레저 상품 산업과 레저 서비스 산업을 비교해서 설명해 주세요.
21,레저산업에 대해 설명해 주세요.,레저산업은 상당한 저부가가치 산업으로 사양길에 접어든 사업입니다. 개발도상국에서 적극적으로 진행하며 순차적으로 경제가 발전하여 규모가 커질수록 레저산업은 축소되는 특징을 가지고 있습니다. ,F,
21,레저산업에 대해 설명해 주세요.,"경제의 고도성장기에는 건강에 관심을 가지게 되고 자연스럽게 레저 산업에 대한 관심이 떨어집니다. 특히 다양한 스포츠로 구성된 레저산업 중에서도, 고급 스포츠는 더 큰 타격을 받습니다.",F,
21,레저산업에 대해 설명해 주세요.,"레저 산업은 상당히 포괄적인 단어로서 비교적 최근에 생긴 단어입니다. 주로 직접 하는 행동레저만을 의미하며, 영화나 연극과 같이 보는 것은 단순한 관람행위로 레저 산업에 포함되지 않습니다.",F,
21,외식산업에 대해 설명해 주세요.,"가정을 떠나 자기가 조리하는 일 없이 식사를 하는 것을 외식이라 하고 그 식사를 제공하는 것을 직업 사업으로서 하는 업계를 외식 산업이라고 합니다. 외식 산업은 급식주체 부문과 음료주체 부문으로 구분되고, 일반 식당은 독립식당이고 호텔, 여관, 학교, 병원, 공장 등의 식당은 시설부속식당입니다.",P,급식주체의 예제를 설명해 주세요.
21,외식산업에 대해 설명해 주세요.,음식업을 말한다. 음식점은 생산과 판매가 일체화되어 있으며 노동집약적인 체질을 갖습니다. 음식시장이 여가시간이나 여성취업자의 증대로 성장함에 따라서 음식점 사이에 전통적인 경영에서의 탈피를 꾀할 움직임이 활발해져 가고 있습니다. 구체적으로는 체인 오퍼레이션 기술을 배경으로 하여 일괄구입이나 일괄조리 등의 방법으로 생업에서 기업으로의 전환이 진행되고 있습니다.,P,노동집약적에 대해 설명해 주세요.
21,외식산업에 대해 설명해 주세요.,"여러 연쇄점을 거느린 산업화한 요식업입니다. 조리 재료의 일괄 구입, 공통된 식단 등이 특색입니다. 소비자에게 외식을 제공하는 산업을 전부 외식산업이라고 하는 경우도 있지만, 보통은 패스트 푸드를 중심으로 중앙 부엌 등에 의해 합리화를 이루어 물적, 정보면에서도 시스템화가 이루어져 체인전개를 하고 있는 음식업을 말합니다.",P,패스트푸드에 대해 설명해 주세요.
21,외식산업에 대해 설명해 주세요.,"집에서 먹는 것과 반대되는 행위로, 밖에서 식사를 하는 것을 의미합니다. 기본적으로 대기업보다는 중소기업이 치중하고 있는 산업분야이며, 2020년 한국에서는 한식 뷔페가 유행 중입니다.",F,
21,외식산업에 대해 설명해 주세요.,"한국에서 유행하고 있는 산업으로 최근 유행하고 있는 한국의 외식기업은 TGI FRIDAY같은 기업이 있으며, 지점을 점차 확장하고 있는 추세입니다. 합리적인 가격으로 시장 경쟁력을 확보합니다.",F,
21,외식산업에 대해 설명해 주세요.,"누구나 쉽게 갈 수 없는 곳이며, 유명한 외식 프랜차이즈에 입장하기 위해서는 매년 회원권을 구매해야만 합니다. 회원권은 1년에 수십만원에 거래되며, 이를 구매하기 위해서는 해당 기업 주식을 구매해야합니다.",F,
21,호텔에 대해 설명해 주세요.,"호텔의 개념에 대해서는 나라마다 약간씩 다르나, 보통 일정한 지불 능력이 있는 사람에게 숙소와 식음료를 제공할 수 있는 시설을 갖추고, 고객이 원하는 서비스를 제공하는 장소 또는 그러한 서비스 업체를 가리킵니다. 한국에서는 관광진흥법에서 '관광객의 숙박에 적합한 구조 및 설비를 갖춘 시설에서 사람을 숙박시키고 음식을 제공하는 업'이라고 규정하고 있습니다.",P,관광진흥법에 대해 설명해 주세요.
21,호텔에 대해 설명해 주세요.,오늘날 호텔이란 단순히 숙박과 음식만을 제공하는 시설이 아니라 하나의 기업입니다. 기업으로서의 호텔은 이익을 목적으로 숙박과 음식물을 생산하여 판매하는 것은 물론 사적시설이 아닌 공공에 기여하는 사회적 시설인 동시에 불특정 다수의 일반고객을 대상으로 하는 영업체입니다.,P,호텔을 사회적 시설로 볼 수 있는 이유를 설명해 주세요.
21,호텔에 대해 설명해 주세요.,숙박시설의 한 유형으로 손님이 잠을 자고 머물 수 있도록 시설 및 설비 등의 서비스를 제공하는 시설을 말합니다. 호텔은 일정한 기준을 갖춘 경우에 관광호텔로 등록할 수 있으며 관광호텔로 등록되면 사업장에 관광표지를 부착할 수 있고 시설 자금·운영 자금의 지원 등을 받을 수 있습니다.,P,관광호텔의 기준에 대해 설명해 주세요.
21,호텔에 대해 설명해 주세요.,"호텔은 숙박과 식사를 동시에 해결할 수 있는 합리적인 시설로, 전 세계 곳곳에 세워진 것이 특징입니다. 누구나 호텔에 자유롭게 머무를 수 있으며, 따로 여권 등을 요구하지 않는 것이 특징입니다.",F,
21,호텔에 대해 설명해 주세요.,"호텔은 등급이 있습니다. 보통 한국에서는 4등급제를 사용하며, 가장 좋은 호텔은 1등급을, 가장 시설이 좋지 않은 곳은 4등급을 받게 됩니다. 이를 위해 매년 치열한 경쟁이 펼쳐집니다.",F,
21,호텔에 대해 설명해 주세요.,"과거와 달리 최근의 호텔은 숙박 기능만을 제공합니다. 보다 더 좋은 숙박 기능을 제공하기 위해 별도의 식사는 제공하지 않고 있으며, 이를 위해 룸서비스도 차차 사라져가는 추세입니다.",F,
21,호텔 등급에 대해 설명해 주세요.,"호텔 등급의 표시 형식과 등급 결정은 각 나라마다 차이가 있습니다. 유럽에서는 '별'로 등급을 표시하며 별 다섯 개는 특급으로 가장 높은 등급입니다. 미국에서는 다이아몬드로 나타냅니다. 우리나라는 관광진흥법시행령 제22조에 의거 호텔업의 등급을 5성급, 4성급, 3성급, 2성급, 1성급으로 나누며 '별'로 등급을 표시합니다.",P,호텔 5성급의 특징을 설명해 주세요.
