CODE,Q1,A1,P/F,Q2
23,스포츠 마케팅에 대해 설명해 주세요.,스포츠마케팅이란 학문은 마케팅 중에서도 스포츠를 매개로 한 영역을 다룹니다. 스포츠마케팅의 개념은 다양하게 정의되고 있는데 ‘교환 과정을 통해 스포츠 소비자들의 욕구와 기대를 충족시키는 데 목표를 둔 활동의 총합’이라고 정의할 수 있습니다. 일반 기업에게는 스포츠를 이용해 기존의 광고 또는 홍보 활동 등을 보조해주는 강력한 마케팅 커뮤니케이션 도구라고 할 수 있습니다.,P,스포츠마케팅의 광고 활동의 특징을 설명해 주세요.
23,스포츠 마케팅에 대해 설명해 주세요.,"스포츠마케팅은 스포츠라는 매개를 통하여 소비자의 욕구를 충족시키고 여기에서 발생하는 상품을 교환하는 과정이라고 정의할 수 있습니다. 스포츠 의류 및 용품 생산업체에게는 매출과 직결되는 마케팅 활동이고, 스포츠 단체에게는 보다 많은 재원을 확보하기 위한 마케팅 활동입니다.",P,스포츠 의류에 대해 설명해 주세요.
23,스포츠 마케팅에 대해 설명해 주세요.,스포츠 마케팅이란 스포츠를 무기삼아 미성년자를 약취 혹은 유괴하는 행위를 의미합니다. 특정 선수의 굿즈를 제공하며 이를 통해 아이의 환심을 산 뒤 다른 곳으로 데려가는 일체의 행위를 의미합니다.,F,
23,스포츠 마케팅에 대해 설명해 주세요.,"스포츠 마케팅은 단순한 스포츠 경기의 중계뿐만 아니라 선수의 용품, 혹은 사인이 된 유니폼 등을 판매하는 모든 행위를 의미합니다. 이 때 발생한 수익은 반드시 국가로 환수되게 됩니다.",F,
23,스포츠 마케팅에 대해 설명해 주세요.,"스포츠 마케팅을 하기 위해서는 반드시 스포츠에 종사할 필요가 있습니다. 선수와 관련된 물품을 판매 혹은 중개하는 자는 반드시 국가대표 경력이 있어야하며, 5년 이상의 경력을 요합니다.",F,
23,올림픽에 대해 설명해 주세요.,IOC가 4년마다 개최하는 국제스포츠대회입니다. 쿠베르탱은 올림픽 경기의 이상을 인간의 완성은 물론 세계의 평화에 두었습니다. 스포츠에 의한 인간의 완성과 교류를 통한 국제평화의 증진이라는 올림픽 이상에서도 알 수 있듯이 올림픽 경기의 아이디어는 꿈이 아닌 합리적인 정신의 소산입니다.,P,IOC에 대해 설명해 주세요.
23,올림픽에 대해 설명해 주세요.,"처음에는 하계대회만을 실시하여 오다가 1924년부터 동계대회가 신설되었고, 올림픽대회라고 하면 통상 하계대회를 의미합니다. 올림픽대회의 참가는 어떠한 국가나 개인·인종·종교 또는 정치적 이유로도 차별받지 않고, 모든 참가자는 ‘이기는 데 있는 것이 아니라 참가하는 데 있다.’라는 올림픽 신조를 가장 소중히 지키고 존중하여야 합니다.",P,동계대회에 대해 설명해 주세요.
23,올림픽에 대해 설명해 주세요.,"올림픽의 개최는 국제스포츠단체의 기초를 확립시켰고, 각국의 스포츠단체는 올림픽을 목표로 체육진흥을 도모하였으며, 세계인의 우의증진과 문화교류에 커다란 영향을 미쳤습니다. 올림픽의 이상은 한마디로 스포츠에 의한 인간의 완성과 경기를 통한 국제평화 증진에 있습니다. ",P,올림픽이 국제평화 증진에 미치는 영향을 설명해 주세요.
23,올림픽에 대해 설명해 주세요.,"올림픽이란 1년에 2번씩 열리는 정기경기로서, 중간 올림픽과 기말 올림픽이 있습니다. 이 때 각각 경기에 출전한 선수들이 번갈아가며 수상을 하게 되고, 기말 올림픽의 경우 내년 중간 올림픽의 참여권을 줍니다.",F,
23,올림픽에 대해 설명해 주세요.,"올림픽은 2년마다 개최하는 국내스포츠 대회로, 한국 올림픽, 일본 올림픽과 같이 국가의 이름이 앞에 붙게 되고, 올림픽에서 우승한 선수는 4년마다 열리는 월드컵에 참여할 수 있게 됩니다.",F,
23,올림픽에 대해 설명해 주세요.,"올림픽에서 우승한 선수에게는 동메달이 수여되며, 참여한 모든 선수들에게는 금메달이 수여됩니다. 이 때의 금메달은 동메달보다 더 큰 가치가 있으며, 은메달은 1900년 이후로 수여되지 않고 있습니다.",F,
23,월드컵에 대해 설명해 주세요.,"세계선수권을 겨루는 국제적인 운동경기의 상배나 선수권대회, 또는 국제축구연맹이 주최하는 축구경기를 가리키는 말입니다. 축구는 월드컵축구대회라 하여 국제축구연맹 주최로 4년마다 열립니다. 배구의 경우 세계 제일을 결정하는 세계 선수권 대회에 버금가는 대회를 월드컵이라고 말하기도 합니다.",P,선수권대회의 특징을 설명해 주세요.
23,월드컵에 대해 설명해 주세요.,"FIFA 주관으로 4년마다 개최되는 국가 대항 축구 대회입니다. 1930년 제1회 대회가 우루과이에서 열린 이래, 단일 종목으로는 세계에서 가장 큰 스포츠행사로 자리 잡았습니다. 선수들은 아마추어와 프로를 망라해 클럽 소속이 아닌 자신의 국가를 대표해 경기를 치릅니다.",P,FIFA에 대해 설명해 주세요.
23,월드컵에 대해 설명해 주세요.,"골프는 1953년에 캐나다컵으로 시작되었으며 프로 2명으로 된 국가별 팀 대항전인 스트로크 플레이가 월드컵이라 불리고, 스키는 1967년부터 열리는 알펜종목 종합경기, 하키는 국제하키연맹 주최로 1971년부터 2년마다 열리는 토너먼트대회가 월드컵이라는 명칭으로 불립니다.",P,하키 월드컵에 대해 설명해 주세요.
23,월드컵에 대해 설명해 주세요.,"월드컵은 전 세계적인 축제로 모두가 모여 스포츠에 참여하는 행위를 의미합니다. 일반적으로는 축구를 의미하고 있으며 2년마다 개최되고 있고, 가장 최근의 우승국은 일본이며 최다 우승국은 한국입니다.",F,
