CODE,Q1,A1,P/F,Q2
24,서비스에 대해 설명해주세요,"서비스는 국가나 사회를 위하여 헌신적으로 일한다는 의미와 웃어른을 받을어 섬긴다는 의미 그리고 남을 위해 자기를 돌보지 아니하고 노력한다는 의미를 담고 있으며 이는 각각 헌신적인 정신, 존경심, 경제성 제고와 친절성을 의미합니다. 이러한 개념이 현대에 와서 서비스업이라는 업태의 탄생으로 이어졌습니다.",P,서비스업에 속하는 산업 유형에 대해 설명해주세요
24,서비스에 대해 설명해주세요,"서비스란 다른 사람을 위해 최고의 접대를 제공하는 것으로서, 현대에 들어와 생긴 말입니다. 가장 대표적인 서비스 업종으로는 요식업이 있으며, 손님의 요구를 최우선적으로 맞추고 동시에 반드시 무급으로 시행해야합니다.",F,
24,서비스에 대해 설명해주세요,"고객의 요구를 최우선적으로 들어주는 직종을 통틀어 서비스업이라 말하며, 특히 호텔과 같은 숙박 업체에 사용되는 말입니다. 서비스직에 종사하는 종업원은 법적인 보호를 전혀 받지 못합니다.",F,
24,서비스에 대해 설명해주세요,"다양한 직종에 서비스가 적용되지만, 이 중에서도 CS라는 용어가 있을만큼 고객과의 접촉이 가장 많은 영역입니다. 개인의 감정보다는 고객의 마음을 이해하는 역량이 필요하며, MBTI검사결과가 매우 중요합니다.",F,
24,태도적 서비스는 무엇인지 설명해주세요,서비스를 정신적인 측면에서 생각할 때에는 문자 그대로 그 자체는 막연하고 추상적인 존재에 불과합니다. 아무리 고객서비스에 투철하도록 경영방침을 세웠다고 하더라도 이것이 실질적인 면으로 표시되어 고객들에게 느껴지게 하지 않고는 아무런 의미가 없기 떄문입니다.,P,고객서비스에 대해 설명해주세요
24,태도적 서비스는 무엇인지 설명해주세요,"태도적 서비스에서 중요한 것으로는 접객태도가 있습니다. 접객태도는 고객이 눈앞에 나타났을 때 즉시 고객중심적인 반응을 나타내는가, 고객과 응대하고 있는 중에 고객을 무시하거나 하는 인상을 주고 있지 않은가 등을 의미합니다. 한편, 표정 또한 비언어적 요소 중 중요한 것으로 볼 수 있습니다.",P,접객 시 주요 고려점에 대해 설명해주세요
24,태도적 서비스는 무엇인지 설명해주세요,"동작이라는 요소가 있습니다. 접객의 과정에서 난폭한 동작, 고객에 대한 무신경한 행동 등을 나타내지 않는지, 절도 있고 기분 좋은 접객을 하는가 등을 의미합니다. 한편, 표현은 간결하면서도 확신을 심어줄 수 있어야 하며 경어는 정확하게 사용할 줄 알아야 합니다.",P,"접객 시, 무신경한 행동의 대표적 유형에 대해 설명해주세요"
24,태도적 서비스는 무엇인지 설명해주세요,"태도적 서비스에는 동작이라는 요소가 있는데, 손님들이 어떻게 종업원을 대해야하는 지를 규정해 놓는 요소입니다. 손님들은 종업원들의 기분이 상하지 않게 가장 최선을 다해 접객을 해야만합니다.",F,
24,태도적 서비스는 무엇인지 설명해주세요,"서비스는 손님이 없으면 공허한 것에 지나지 않습니다. 식당에 방문하는 손님을 대상으로 최대한 완벽한 서비스를 제공하는 것을 목표로 하며, 이것이 불가능할 경우에는 반드시 레스토랑을 폐쇄하도록 합니다.",F,
24,태도적 서비스는 무엇인지 설명해주세요,"특히 동양이 아닌, 서양에서 유래한 서비스의 개념으로서 가장 완벽한 경험을 제공한다는 것을 목표로 하고 있습니다. 이것이 지켜지지 않는 경우에는 고객으로부터의 클레임이 들어오기도 하며, 그 즉시 종업원은 퇴사됩니다.",F,
