CODE,Q1,A1,P/F,Q2
25,Ad Hoc 네트워크에 대해 설명해주세요.,"핸드폰처럼 기지국과 단말이 통신하는 형태가 아니라,각 단말끼리 연결이 되는 형태로 멀리 떨어져 있는 단말끼리는 중간에 있는 단말들이 중계기 역할을 해 주어서 통신을 하게 됩니다. 통신기기간 특별한 무선 통신을 Ad-hoc 네트워킹이라고 부릅니다. Ad-Hoc 네트워킹은 중앙 시스템의 도움 없이 언제, 어디서나 기기간 통신을 가능하게 해줍니다. ",P,기지국과 단말이 통신하는 방식에 대해 설명해주세요.
25,Ad Hoc 네트워크에 대해 설명해주세요.,기본적으로 Ad hoc 네트워크는 기존 인터넷망을 사용하기 위한 것이 아니고 무선 기기들끼리 네트워크가 가능하도록 하는 것입니다. Ad hoc 네트워크에 포함된 기기중 하나라도 인터넷에 연결되면 Ad hoc 네트워크에 포함된 모든 단말이 인터넷에 접속할 수 있게 되는 것입니다.,P,Ad hoc 네트워크의 단점에 대해 설명해주세요.
25,Ad Hoc 네트워크에 대해 설명해주세요.,Ad-hoc 네트워크는 네트워크 중앙에 위치한 노드가 움직이거나 통신 기기가 라우터와 호스트 기능을 동시에 수행하기 때문에 노드와 사용자 이동성의 경우 포워딩을 통해 처리합니다. 이를 위해 라우팅 알고리즘이 이동성을 직접 처리하면서 라우팅 테이블에 일어난 변화를 관리합니다.,F,
25,Ad Hoc 네트워크에 대해 설명해주세요.,Ad-hoc 네트워크는 인프라스트럭쳐 네트워크와 같이 고정적이고 계층적인 네트워크와 달리 이동 노드와 중재자로 구성된 자율적이고 수평적인 네트워크 입니다. 중재자의 도움 덕분에 능동적인 연결 설정이 가능하고 네트워크의 참여 또는 이탈이 자유로워 집니다.,F,
25,Ad Hoc 네트워크에 대해 설명해주세요.,Ad-hoc 네트워크는 중앙통제로부터 완벽하게 독립하여 사용자가 네트워크 사용에 더 많은 자유와 유연성을 얻을 수 있게 합니다. 하지만 하나의 무선기기라도 기존 인터넷망에 연결이 되어 있지 않으면 모든 기기가 인터넷을 사용할 수 없다는 단점이 존재합니다.,F,
25,객체지향 프로그래밍에 대해 설명해주세요.,"프로그램 설계방법론이자 개념의 일종입니다. 프로그램을 단순히 데이터와 처리 방법으로 나누는 것이 아니라, 프로그램을 수많은 객체라는 기본 단위로 나눕니다. 그리고 이 객체들의 상호작용으로 서술하는 방식입니다. 객체란 하나의 역할을 수행하는 메소드와 변수의 묶음으로 봐야 합니다.",P,객체에 대해 설명해주세요.
25,객체지향 프로그래밍에 대해 설명해주세요.,"큰 문제를 작게 쪼개는 것이 아니라, 먼저 작은 문제들을 해결할 수 있는 객체들을 만든 뒤, 이 객체들을 조합해서 큰 문제를 해결하는 상향식 해결법입니다. 이 객체란 것을 일단 한번 독립성,신뢰성이 높게 만들어 놓기만 하면 그 이후엔 그 객체를 수정 없이 재사용할 수 있으므로 개발 기간과 비용이 대폭 줄어들게 됩니다.",P,"상향식 해결법이외, 하향식 해결법에 대해 설명해주세요."
25,객체지향 프로그래밍에 대해 설명해주세요.,"컴퓨터 프로그래밍의 패러다임 중 하나입니다. 객체 지향 프로그래밍은 컴퓨터 프로그램을 명령어의 목록으로 보는 시각에서 벗어나 여러 개의 독립된 단위, 객체들의 모임으로 파악하고자 하는 것입니다. 각각의 객체는 메시지를 주고받고, 데이터를 처리할 수 있습니다. 객체 지향 프로그래밍은 프로그램을 유연하고 변경이 용이하게 만들기 때문에 대규모 소프트웨어 개발에 많이 사용됩니다.",P,객체간 메시지를 주고받는 방법에 대해 설명해주세요.
25,객체지향 프로그래밍에 대해 설명해주세요.,"객체지향 프로그래밍 프로그래밍의 상태와 상태를 변경시키는 구문의 관점에서 연산을 설명하는 방식 중 하나로, 수행되어야 할 연속적인 계산 과정을 포함하는 방식입니다. 또한 어떤 방법으로 해야 하는지를 나타내기 보다는 무엇과 같은지를 설명하는 데에 집중합니다..",F,
25,객체지향 프로그래밍에 대해 설명해주세요.,"객체지향 프로그래밍은 순수함수를 조합하고 공유상태, 변경 가능한 데이터 및 부작용을 피하여 소프트웨어를 만드는 프로세스입니다. 명령형이 아닌 선언형이며, 애플리케이션의 상태는 순수 함수를 통해 전달됩니다.",F,
25,객체지향 프로그래밍에 대해 설명해주세요.,"객체지향 프로그래밍의 특징은 자료 추상화, 상속, 동적 바인딩 등이 있습니다. 이중 상속은 새로운 클래스가 기존의 클래스의 자료와 연산을 이용할 수 있게 하는 기능으로, 새로운 클래스는 부모 클래스라고 하며, 새로운 클래스가 상속하는 기존의 클래스는 자식 클래스라고 합니다. 상속을 통해 클래스 간의 종속 관계를 해결하고 객체를 유연하게 할 수 있습니다.",F,
25,메소드에 대해 설명해주세요.,"자바를 포함한 객체 지향 프로그래밍 언어에서 클래스 내부에서 정의된 함수를 메소드라고 합니다. 기본적으로는 함수와 유사한 의미로 사용된다. C++ 등에서 함수라는 단어가 주로 쓰인다면, 메소드는 Java 관련해서 주로 사용됩니다. 같은 객체 지향 언어지만 자바의 경우 함수를 독립적으로 사용할 수 없고, 클래스 내부에서만 정의될 수 있기 때문에 그냥 메소드라고 합니다.",P,클래스에 대해 설명해주세요.
25,메소드에 대해 설명해주세요.,메소드는 프로그램이 실행되고있을때 클래스에서 생성된 인스턴스와 관련된 동작을 정의합니다. 메소드는 런타임 중에 클래스 인스턴스에 저장되어 있는 데이터에 접근할 수 있는 특수 속성을 가지고 있습니다. 바인딩은 클래스와 메소드 간의 연관관계를 말합니다. 클래스와 관련된 메소드는 클래스에 바인딩 할 수 있습니다.,P,인스턴스에 대해 설명해주세요.
25,메소드에 대해 설명해주세요.,"메소드란 어떠한 특정 작업을 수행하기 위한 명령문의 집합이라 할 수 있습니다. 클래스에서 메소드를 작성하여 사용하는 이유는 중복되는 코드의 반복적인 프로그래밍을 피할 수 있기 때문입니다. 또한, 모듈화로 인해 코드의 가독성도 좋아집니다. 그리고 프로그램에 문제가 발생하거나 기능의 변경이 필요할 때도 손쉽게 유지보수를 할 수 있게 됩니다.",P,메소드를 작성할 때 주의해야 할 부분에 대해 설명해주세요.
25,메소드에 대해 설명해주세요.,메소드는 클래스 기반 언어에서 클래스 내부에 정의되어 있는 객체와 관련된 서브 루틴입니다. 데이터와 멤버 변수에 대한 접근 권한을 갖고 있어 입력값과 출력값이 반드시 존재하는 형태로 만들어져야 합니다.,F,
25,메소드에 대해 설명해주세요.,"메소드는 객체지향 프로그래밍에서 객체의 초기화를 담당하는 서브루틴을 가리킵니다. 메소드는 객체가 처음 생성될 때 호출되어 멤버 변수를 초기화하고, 필요에 따라 자원을 할당하기도 합니다. 객체의 생성 시에 호출되기 때문에 메소드라는 이름이 붙었습니다.",F,
25,메소드에 대해 설명해주세요.,"메소드는 입력값이 있고, 그 입력값을 받아서 무언가 한 다음 결과를 도출해 내는 수학의 함수와 비슷한 개념입니다. 이때 도출되는 결과값을 매개 변수라고 하고, 함수의 호출 결과로 나오는 값을 인자라고 합니다.",F,
25,자바의 클래스에 대해 설명해주세요.,"자바에서 클래스란 객체를 정의하는 틀 또는 설계도와 같은 의미로 사용됩니다. 자바에서는 이러한 설계도인 클래스를 가지고, 여러 객체를 생성하여 사용하게 됩니다. 클래스는 객체의 상태를 나타내는 필드와 객체의 행동을 나타내는 메소드로 구성됩니다. 즉, 필드란 클래스에 포함된 변수를 의미합니다.",P,메소드에 대해 설명해주세요.
25,자바의 클래스에 대해 설명해주세요.,"사물 하나 하나를 기능별로 묶어서 사용하는 것입니다. 각 클래스 안에서 역할에 따라 각 클래스의 기능을 서술해 나갑니다. 개발자에 따라, 같은 프로그램을 만들더라도, 여러가지 관점으로 만들 수 있습니다. 자바에서는 어떤 프로그래밍이든 클래스 안에 속해있습니다. 또한, 다른 클래스에서 다른 클래스를 선언 하여 사용할 수 있습니다.",P,클래스를 나누는 기준에 대해 설명해주세요.
25,자바의 클래스에 대해 설명해주세요.,"클래스란 완벽한 하나의 프로그램을 하나의 블록으로 묶은 것입니다. 클래스의 목적은 프로그램을 부품화 시키는 것입니다. 특징에는 캡슐화와 정보은닉, 상속성과 다형성이 있습니다. 데이터와 함수를 하나로 묶는 것을 캡슐화라고 하며 클래스 멤버변수나 멤버메소드를 물려주거나 물려받게 하는 것을 상속성이라 합니다.",P,클래스의 특징 중 다형성에 대해 설명해주세요.
25,자바의 클래스에 대해 설명해주세요.,자바에서 클래스는 객체를 정의하는 틀 또는 설계도와 같은 의미로 사용됩니다. 자바에서는 이러한 설계도인 클래스를 가지고 여러 객체를 생성하여 사용하게 됩니다. 클래스는 객체의 행동을 나타내는 필드와 객체의 상태를 나타내는 메소드로 구성됩니다.,F,
25,자바의 클래스에 대해 설명해주세요.,"자바의 클래스에서는 코드의 재활용이나 유지보수의 용이성을 위해 자식 클래스가 부모 클래스로부터 상속받을 수 있습니다. 하지만 이 때, 메소드만 물려받지 변수는 물려받지 않습니다. 상속은 클래스를 정이하기 전 중괄호에서 (extends 클래스명) 을 통해 이루어집니다.",F,
25,자바의 클래스에 대해 설명해주세요.,"자바에서는 다른 프로그래밍 언어와는 달리 클래스의 다중상속이 가능하기 때문에, 하나의 자식 클래스가 여러 부모 클래스로부터 변수와 메소드들을 상속받아 코드의 재사용성을 극대화할 수 있습니다.",F,
25,디봅스에 대해 설명해주세요.,디봅스는 IT계열 쪽의 합성로써 시스템의 연구개발과 운영을 같이 하는 방식을 이야기합니다. 디봅스의 이점으로는 속도가 있습니다. 배포까지의 작업 속도가 빨라져 고객을 위해 더 빠르게 혁신하고 시장 변화에 빠르게 대처하여 더 효율적인 비즈니스 성과를 창출할 수 있습니다.   ,P,디봅스의 장점에 대해 설명해주세요.
25,디봅스에 대해 설명해주세요.,"개발자와 운영진간 의견의 간극을 줄이기 위해 탄생한 문화입니다. 디봅스는 개발자와 운영진의 공통지표를 맞추고 지속적인 커뮤니케이션을 통해 차이를 줄이며 설계부터 배포까지 하나의 조직으로 협업하여, 빠르게 변화하는 고객 중심의 시장에 맞춰 효율적으로 신속하게 대처할 수 있도록 하는 문화 라고 할 수 있습니다. ",P,개발자의 입장에 대해 설명해주세요.
25,디봅스에 대해 설명해주세요.,"디봅스는 소프트웨어개발 그리고 운영의 합성어로, 일반적 정의는 개발과 운영을 하나의 조직으로 합쳐서 팀을 운영하는 문화이자 방법론입니다. 디봅스의 장점으로는 확장이 있습니다. 자동화와 일관성이 지원되어 안전성을 보장하며 복잡한 시스템 또는 변화하는 시스템을 효율적으로 관리할 수 있습니다.",P,확장 이외 디봅스의 장점을 설명해주세요.
25,디봅스에 대해 설명해주세요.,"디봅스의 핵심은 작동하는 소프트웨어의 작은 구성 요소를 신속하게 제공하여 고객의 만족도를 개선하는 것입니다. 이러한 방법은 적응형 접근 방식과 팀워크를 활용한 지속적인 개발에 중점을 두고 있습니다. 일반적으로, 디봅스는 소프트웨어 개발자와 비즈니스 담당자가 자체적으로 조직한 소규모 팀으로 이루어지며, 이들은 소프트웨어 개발 라이프사이클 전체에 걸쳐 정기적으로 직접 만나 협업합니다.",F,
25,디봅스에 대해 설명해주세요.,"디봅스는 소프트웨어 엔지니어링에 대한 개념적인 얼개로, 프로젝트의 생명주기동안 반복적인 개발을 촉진합니다. 최근에는 소프트웨어 엔지니어링 뿐 아니라 다양한 전문 분야에서 실용주의적 사고를 가진 사람들이 디봅스를 적용하려는 시도를 하고 있습니다.",F,
25,디봅스에 대해 설명해주세요.,"디봅스는 소프트웨어 개발 방법에 있어서 아무런 계획이 없는 개발 방법과 계획이 지나치게 많은 개발 방법들 사이에서 타협점을 찾고자 하는 방법론이다. 계획이 없는 방법론의 경우, 앞으로의 일을 예측하기 힘들고 효율적이지 못하다는 점에서 취약점을 가지고 있으며, 계획에 너무 의존하는 경우는 그 형식적인 절차를 따르는데 필요한 시간과 비용을 무시할 수 없으며, 전체적인 개발의 흐름 자체를 느리게 하는 단점을 가지고 있다.",F,
25,킬 스위치에 대해 설명해주세요.,"일반적인 방식으로는 종료가 불가능한 위기 상황에 처한 장치나 기계를 종료하기 위해 사용되는 안전 매커니즘입니다. 모든 시스템을 일련의 순서대로 종료시킨 다음 해를 끼치지 않고 기계를 종료하는 일반적인 종료 스위치와 다르게, 킬 스위치는 동작을 가능한 빨리, 완전히 종료할 수 있도록 구성 및 설계되어 있으며 빠르고 단순한 방식으로 동작할 수 있습니다.",P,소프트웨어 내 킬 스위치가 적용된 사례를 설명해주세요.
