CODE,Q1,A1,P/F,Q2
26,주거공간의 의미에 대해 설명해 주세요.,"좋은 주거 기준을 말씀드리겠습니다. 좋은 주거의 기준은 집의 크기나 장식, 혹은 재료에 있지 않습니다. 근본적인 인간의 삶이 펼쳐질 수 있도록 해주느냐가 관건입니다. 최고급 주택이나 큰 평수에 산다 하더라도 거주의 의미를 만끽하지 못한다면 좋은 주거가 아니라고 생각됩니다.",P,본인의 삶의 의미를 주거공간에 녹인다면 어떤 방식으로 표현가능한지 설명해주세요.
26,주거공간의 의미에 대해 설명해 주세요.,"주거공간이란 인간이 생활을 영위하는 모든 공간을 의미하기 떄문에 자가주택 뿐만 아니라 자기가 보유한 자동차나 다니고 있는 회사 공간, 학교 역시 넓은 의미에서 개인의 주거공간 영역으로 고려하고 있습니다.",F,
26,주거공간의 의미에 대해 설명해 주세요.,"주거공간이란 개인이 주거하는 건물로서 주택이 대표됩니다. 따라서 그 외의 지역은 주거공간이 될 수 없으며, 어떠한 장소에서 휴식을 취하거나 잠을 자더라도 개인 소유의 주택이 아니라면 주거공간이 아니게 되는 엄격한 정의를 가지고 있습니다",F,
26,주거공간의 의미에 대해 설명해 주세요.,주거공간이란 거주가 수행되는 장소를 의미하며 1가구 1주택 현상으로 인해서 현재 모든 사회 구성원이 개인의 주거공간을 확보하고 있습니다. 이로 인해 주거공간의 의미는 자신 소유의 주택으로 한정되어 정의되고 있습니다,F,
26,주거공간의 의미에 대해 설명해 주세요.,"'거주함' 은 일정 영영 내 정치된 상태가 아니라, 여러가지의 생활 세계와 주변 여건이 맞물려 있으면서 고유한 삶의 패턴을 펼치는 존재방식까지 내포합니다. 자기의 삶이 투영되는 곳이며, 동시에 자기의 삶이 펼쳐지는 곳입니다. 좋은 주거공간을 형성하기 위해서는 거주자의 상황이나 주거욕구를 정확히 분석하는 과정이 필요한 이유이기도 합니다.",P,특정 상황을 주거공간에 녹인 사례를 설명해주세요.
26,"건축 또는 조경 디자인 프로세스는 조사분석, 컨셉설정, 계획, 프리젠테이션으로 구성됩니다. 본인이 잘 아는 단계를 하나 선택하여 설명해주세요.","조사분석단계에 대해 설명드리겠습니다. 프로젝트의 배경을 분석하고 파악하여 기본적 방향을 설정하는 과정입니다. 조사 분석 단계에서는 디자인의 목적과 범위의 결정, 문제점의 파악, 필요한 정보의 수집, 조닝과 스페이스 프로그램의 과정으로 나눠볼 수 있습니다. 이후 단계들의 기저가 되는 단계이므로 각 정보들의 에러를 철저히 점검해야 합니다.",P,조닝이 무엇인지 설명해주세요.
26,"건축 또는 조경 디자인 프로세스는 조사분석, 컨셉설정, 계획, 프리젠테이션으로 구성됩니다. 본인이 잘 아는 단계를 하나 선택하여 설명해주세요.","컨셉설정 단계는 가장 핵심적인 단계입니다. 전 단계인 분석 내용을 바탕으로 해야하며, 다음 단계인 계획에 대한 중추적 논리 구조를 형성해야 합니다. 뿐만 아니라, 다른 사람과의 차별성을 기할 수 있는 독창성도 가지고 있어야 합니다. 디자인 컨셉, 매스 스터디, 공간 레이아웃, 아이디어 스케치등의 세부 단계를 포함하고 있습니다.",P,컨셉설정 이외 단계는 무엇이 있는지 설명해주세요.
26,"건축 또는 조경 디자인 프로세스는 조사분석, 컨셉설정, 계획, 프리젠테이션으로 구성됩니다. 본인이 잘 아는 단계를 하나 선택하여 설명해주세요.","건축 디자인 프로세스에서 조사분석이란 해당 건축 디자인이 기존에 존재하는 지를 분석하는 것입니다. 건축 디자인 역시 저작권의 범위에 포함되기 때문에, 건축 디자인이 표절로 결정이나게 되면, 해당 건축물의 소유권이 부정되기 떄문입니다",F,
26,"건축 또는 조경 디자인 프로세스는 조사분석, 컨셉설정, 계획, 프리젠테이션으로 구성됩니다. 본인이 잘 아는 단계를 하나 선택하여 설명해주세요.","건축 디자인 프로세스에서 컨셉설정은 해당 프로세스에서 가장 최초로 설정되는 단계이며 해당 건축물의 소유주의 취향을 반영하고, 내부와 외부에 대한 디자인 컨셉을 설정하는 단계로, 전적으로 해당 건축 소유자의 의견만 반영되고 있습니다",F,
26,"건축 또는 조경 디자인 프로세스는 조사분석, 컨셉설정, 계획, 프리젠테이션으로 구성됩니다. 본인이 잘 아는 단계를 하나 선택하여 설명해주세요.","건축 디자인 프로세스 중 계획의 단계란 해당 건축이 진행되는 기간, 건축에 발생하는 비용, 건축의 외부 내부의 구체적인 공간 수치 등을 계획하는 단계이며 이는 프로세스가 진행됨에 따라 지속적으로 수정되기 떄문에 프로세스에서 필수적인 구성요소는 아닙니다",F,
26,"건축 또는 조경 디자인 프로세스는 조사분석, 컨셉설정, 계획, 프리젠테이션으로 구성됩니다. 본인이 잘 아는 단계를 하나 선택하여 설명해주세요.","계획단계에 대해 설명드리겠습니다. 프로젝트에 대한 아이디어를 실제 공간에 적용 가능한 형태로 구체화시키는 단계입니다. 기본적으로 건물의 외형과 내부공간의 윤곽이 결정되며, 클라이언트와의 협의 및 조정 작업이 진지하게 이뤄집니다. 어느정도 평면 방향이 정해지면, 도면 일식을 작성하게 됩니다.",P,클라이언트와의 협의는 어떤 부분에서 주로 이루어질지 설명해주세요.
26,대지 내에 지어질 수 있는 건물의 규모를 나타내는 비율에는 건폐율과 용적률이 있습니다. 하나를 선택해서 설명해주세요.,"건폐율은 대지크기에 비해 건물이 얼마나 차지했는지를 나타냅니다. 즉 건축면적의 대지면적에 대한 비율을 나타내는 밀도지표입니다. 건폐율은 대지에 어느정도의 공지를 최소한 확보하여 일조, 채광, 통풍, 화재 시 연소방지와 피난 등을 용이하게 하는 평면적 규모제한에 목적을 두고 있습니다.",P,건축면적에 대해서 설명해주세요.
26,대지 내에 지어질 수 있는 건물의 규모를 나타내는 비율에는 건폐율과 용적률이 있습니다. 하나를 선택해서 설명해주세요.,"용적률에 대해서 설명드리겠습니다. 용적률은 땅의 크기에 비해 얼마나 많은 면적이 이용되는지를 나타냅니다. 즉 용적률은 건축물의 실제 사용하는 면적의 총합 중 지상층 주차전용 부분을 제외한 연면적의 대지면적에 대한 비율이며, 당해 대지의 채광과 통풍을 확보하기 위한 입체적 규모 제한에 해당합니다.",P,지하의 주차전용 면적은 용적률 산정시 어떻게 되는지 설명해주세요.
26,대지 내에 지어질 수 있는 건물의 규모를 나타내는 비율에는 건폐율과 용적률이 있습니다. 하나를 선택해서 설명해주세요.,"건폐율이란 땅의 크기에 비해 얼마나 많은 면적을 이용할 수 있는지를 측정하는 지표입니다. 건축물의 실제 평수의 총합 중 전체 평수에서 주차전용 부분을 제외한 총 평수의 비율이며, 입체적 규모 제한에 해당하고 있습니다.",F,
