CODE,Q1,A1,P/F,Q2
27,기계 설계에 대해 설명해주세요.,기계설계는 기계공학의 여러 분야 가운데 실제 기계장치를 제작하기 위한 가장 실무적인 학문 분야입니다. 인간의 삶의 질을 향상시키기 위한 아이디어를 가용한 기술 및 자원을 사용하여 인간의 욕구를 충족시키면서 일련의 공학적 요건을 만족시키는 기계 혹은 기계장치 시스템을 창조하는 과정입니다.,P,기계시스템공학에 대해 설명해주세요.
27,기계 설계에 대해 설명해주세요.,기계설계는 CAD를 통한 도면 작업 능력을 중심으로 컴퓨터에 관련된 지식을 통해 기계를 설비하는 과정을 말합니다. 그러나 현재는 기계 장치가 원천적으로 제공되어 있지 않아 실무적으로는 사용되지 못하고 있습니다,F,
27,기계 설계에 대해 설명해주세요.,기계를 제작하기 위해서 도면을 작성하는 것이 기계 설계의 시작입니다. 그러나 해당 기계가 완성되더라도 다른 목적으로 사용되는 경우가 굉장히 많기 떄문에 사용목적을 먼저 정하지 않고 가능성을 염두해두어야 합니다,F,
27,기계 설계에 대해 설명해주세요.,목적을 가진 기계장치를 만드는 것을 기계설계라고 합니다. 따라서 기계 장치가 다른 용도로 사용될 경우를 배제하고 목적 지향적인 기계 장치를 만드는 과정을 말하며 기계 장치 시스템은 기계 설계의 과정에 포함되지 않습니다,F,
27,기계 설계에 대해 설명해주세요.,어떤 목적을 가진 기계장치를 만들어내는 데 필요한 모든 조건을 생각하고 그것에 따라서 실제로 기계를 만들어내는 데 기본이 되는 설계입니다. 기계의 제작은 기계설계로부터 시작되는데 먼저 사용목적이 정해져야합니다. 기초사항을 충족시킬 수 있는 형식이나 구조를 생각하여 이것을 도면에 기입하는 것입니다.,P,기계 도면 작성법에 대해 설명해주세요.
27,경도에 대해 설명해주세요.,경도란 물질의 단단함과 무른 정도를 나타내는 것을 말합니다. 재료를 날카로운 도구로 굵어 할퀴기 경도를 측정하기도 합니다. 광물의 굳기를 결정하는 데는 모스 경도계가 사용되고 있습니다. 경도는 표준물질과 비교해서 결정하며 이것에 의해 재료의 기계적 성질을 알 수 있습니다.,P,모스경도계에 대해 설명해주세요.
27,경도에 대해 설명해주세요.,"물체의 단단함을 나타내는 척도, 물질의 단단함과 무른 정도를 나타내는 말을 뜻합니다. 재료의 특성에 따라 여러가지 시험 방법이 있으며 측정방법에 따라 다양합니다. 단단한 표준이 되는 물체를 정적으로 또는 충격적으로 누르는 방법이나 긁는 방법으로 측정을 할 수 있습니다.",P,경도 측정방법 종류에 대해 설명해주세요.
27,경도에 대해 설명해주세요.,"경도란 물질의 단단함에 대한 정도를 말하며, 비커스 경도, 브리넬 경도, 로크웰 경도 등이 있습니다 또한 경도가 높은 물질의 경우 특정 변이점에서도 그 형태를 고체나 액체로 유지하는 특징을 지니고 있습니다.",F,
27,경도에 대해 설명해주세요.,"경도란 물질의 단단함과 무른 정도를 나타내는 성질입니다. 주로 광물에서 경도는 주요한 척도로 사용되고 있으며 브리넬 경도계를 통해서 광물의 굳기를 측정하고, 절대적 지표이기 떄문에 양의 값을 가지게 됩니다.",F,
27,경도에 대해 설명해주세요.,경도는 소성 변형에 대한 저항성입니다. 경도와 인장 강도가 반비례하기 떄문에 열처리 후 인장강도의 예측치를 역으로 하여 경도의 예측치를 구할 수 있으며 인장 강도가 높은 물질의 경우 경도가 낮다는 특징이 있습니다,F,
