CODE,Q1,A1,P/F,Q2
32,법학에 대해 설명해 주세요.,"법학은 철학을 바탕으로 하는 과학입니다. 이론적·체계적 연구 또는 지식으로서의 학문은 과학과 철학으로 구분됩니다. 체계화된 모든 지식의 총체로서의 학문은 과학과 철학을 바탕으로 합니다. 과학은 일정한 가정 위에서 명제를 전제로 결과를 도출한 것인데 반하여, 철학은 가정 없이 근본 원리를 구명하는 것을 임무로 하고 과학의 기초를 제공해 줍니다.",P,철학에 대해 설명해 주세요.
32,법학에 대해 설명해 주세요.,"법학이란 사회에 법을 어떤 방식으로 적용할 것인지를 측정하는 학문입니다. 판사의 주관적인 판결의 기초적인 학문이 되며, 법학은 각 판사의 성향에 따라서 달라지기 때문에 과학이 아닌 인문학의 분야로 취급되어지고 있습니다",F,
32,법학에 대해 설명해 주세요.,"법학은 과학이 아닙니다. 법학은 인간의 자의적인 해석과 논리에 이해서 만들어지기 떄문에, 추리력과 논리력 보다 상황에 대한 해석이 우선시 되기 떄문입니다. 따라서 법학은 인문학의 분야로 규정되어 질 수 있습니다.",F,
32,법학에 대해 설명해 주세요.,"법학은 사회 공동체를 구성하기 위해서 반드시 기초적으로 습득되어야 하는 학문입니다. 또한 민주주의 체제로 전환됨에 따라 법학이라는 학문이 등장하게 되면서, 법학은 모든 학문의 기초적인 가정을 제시하여 철학을 대체하게 되었습니다",F,
32,법학에 대해 설명해 주세요.,"법학은 사회현상을 연구 대상으로 하는 사회과학의 한 분야입니다. 철학과 구별되는 과학은 수학·논리학과 같이 그 실질에 관계하지 않는 형식적 과학과 실질에 관계하는 실험적 과학으로 구분됩니다. 법학은 사회과학이라는 점에서 개인적 과학과 구별되며, 정신과학이라는 점에서 자연과학과 구별됩니다.",P,실험적 과학에 대해 설명해 주세요.
32,법의 특성에 대해 설명해 주세요.,"사물을 지배하는 법칙에는 자연법칙과 규범법칙이 있습니다. 규범법칙을 줄여서 규범이라 부르며, 법은 이 규범에 속합니다. 규범이란 우리 인간에게 일정한 작위 또는 부작위를 명하는 당위규칙을 말합니다. 즉, 있다는 사실에 대하여 있어야 한다는 당위의 법칙이 규범입니다.",P,자연법칙의 특성을 설명해 주세요.
32,법의 특성에 대해 설명해 주세요.,"규범으로서의 법은 가치판단의 기준이 되므로 가치 규범인 동시에 사회생활에 있어서 인간의 행위나 태도 그 자체를 규율하는 점에서 실천 규범입니다. 또 규범은 선험적 근거에 기하여 절대적으로 타당한 경우에는 선험적 규범이라고 하고, 경험적 근거에 의하여 타당성이 인정되는 경우에는 경험적 규범이라고 하는데, 자연법은 선험적 규범인데 대하여 실정법은 경험적 규범입니다.",P,자연법에 대해 설명해 주세요.
32,법의 특성에 대해 설명해 주세요.,법의 특성은 예측이 불가능하다는 것입니다. 법규로 규정되어 있는 법이라고 할지라도 시대의 요구에 따라서 달리 해석될 수 있기 떄문에 법의 내용적 측면으로 해당 판결이 어떤 식으로 발생할지는 일반인이 예측하기 어렵습니다,F,
32,법의 특성에 대해 설명해 주세요.,법의 특성은 주관성입니다. 법이란 개인의 주관으로 해석되며 해당 주관에 의해서 해석된 논리가 올바른지를 판단하는 것이 법의 심판의 대상입니다. 따라서 법은 그 명문화되어있는 것이라 할지라도 객관적이지 않다는 특징을 가지고 있습니다,F,
32,법의 특성에 대해 설명해 주세요.,"법이란 사회의 질서를 유지하기 위해 필요한 규범이기 때문에, 모두에게 적용되어야 한다는 특징이 있습니다. 따라서 대한민국에 위치되어 있는 모든 사람은 대한민국 법에 대상이 되며,외국인이라고 할지라도 모든 법의 적용대상이 되게 됩니다.",F,
32,법의 특성에 대해 설명해 주세요.,"사회 규범이란 사회가 정립하고 또한 사회에 타당한 규범을 말합니다. 인간은 독립해서 생활하는 것이 아니라 가족·부락·공공단체·국가·국제단체 등 여러 형태의 단체를 이루어 공동생활을 하고 있습니다. 이러한 인간의 집단생활 속에서 개인과 개인, 개인과 단체, 단체와 단체 사이에 필연적으로 사회가 형성되며, 그 질서를 유지하기 위해서는 사회 규범이 있어야 합니다.",P,사회 규범에 대해 설명해 주세요.
32,로마법대전에 대해 설명해 주세요.,"동로마 황제 유스티니아누스 1세가 편찬ㆍ반포한 법령의 총칭으로, 시민법대전, 유스티니아누스 법전이라 불리기도 합니다. 유스티니아누스 1세는 제국의 판도를 확장함과 동시에 법률을 통일 완비하여 고전로마법을 부활시킨다는 목표로 대입법 사업을 단행하였습니다. 이에 따라 옛 칙령 중에서 일부를 골라 12권으로 집성하였습니다. ",P,유스티니아누스에 대해 설명해 주세요.
32,로마법대전에 대해 설명해 주세요.,"전체 로마법의 총결산으로, 기원전 753년의 로마건국에서 기원 후 565년의 유스티니아누스제의 사망까지 수 백년에 이르는 로마법 제사 속에서 가장 중요한 법원으로 되어 있는 것이 유스티니아누스 법전입니다. 유제는 제국의 판도를 확장함과 동시에 당시 혼란하였던 법률을 통일 완비하여 고전법 복귀를 목표로 대입법 사업을 단행하였습니다.",P,고전법에 대해 설명해 주세요.
32,로마법대전에 대해 설명해 주세요.,"로마법대전이란 자연법의 일종으로, 기원전부터 존재해왔으나 르네상스 시기에 해당 법을 성문화시키는 것에 성공하여 우리에게 전해지고 있습니다. 따라서 성문화되었더라도 로마법대전에 기입되어 있는 모든 규정은 자연법으로 취급됩니다",F,
32,로마법대전에 대해 설명해 주세요.,로마법대전은 로마법에 있는 총결산으로 현대 독일과 영국법에 지대한 영향은 미친 성문법입니다. 그러나 해당 법은 유럽 고유의 문화에 대한 기틀을 통해서 마련된 법이기 떄문에 우리나라에는 영향을 주지 못하였습니다.,F,
32,로마법대전에 대해 설명해 주세요.,"로마법은 시민법대전, 유스티니아누스 법전이라고 불리기도 합니다. 동로마 황제 유스티니아누스가 성문화시킨 법령이지만, 황제의 권위를 높이기 위한 법령만이 가득한 법이기 때문에 프랑스 혁명 이후, 파손되어 역사속으로 사라졌습니다",F,
32,법철학에 대해 설명해 주세요.,"법의 본질과 연원 등을 해명하기 위한 개념과 이론을 만드는 철학적 연구 분야입니다. 일반적으로 철학이 취하고 있는 기초이론에 입각하여 법의 개념, 본질, 이념, 효력 등을 비롯하여 법과 사회, 법과 국가의 관계의 근본문제를 다룹니다. 즉, 올바른 법이 무엇인지를 탐구하고 모색하는 법철학은 법과 관련된 철학입니다.",P,법의 효력에 대해 설명해 주세요.
32,법철학에 대해 설명해 주세요.,"법철학은 법의 본질과 목적, 법의 개념, 법의 객관적 가치 또는 법의 이념, 법의 존재 상태 또는 법의 효력, 타당성, 법 현상 등을 일반적으로 규명하고, 다시금 법의 제정·해석·적용에 특유의 논리 또는 법적 사유의 기본적 범주나 법학 방법론에 이어 이를 응용·실천하는 것을 그 임무로 합니다.",P,법의 제정에 대해 설명해 주세요.
32,법철학에 대해 설명해 주세요.,"법철학이란 법이 내재하고 있는 생각이 무엇인지 알려줍니다. 법철학이 올바르게 되면 올바른 법이 나오게 되며, 법철학은 국가별로 상이하다는 특징이 있습니다. 다만, 기존의 철학과는 그 의미가 다른 도덕적으로 올바름을 추구하는 협소한 의미의 철학이라고 규정됩니다",F,
32,법철학에 대해 설명해 주세요.,법철학의 본질은 법이 어떤 이념과 이상을 토대로 만들어 졌는지를 파악하는 것입니다. 따라서 시대에 따라 법철학은 변화하는 것이 당연합니다. 현재는 자유시장경제가 활성화됨에 따라서 법철학은 경제성의 측면이 강하게 부각되고 있습니다,F,
32,법철학에 대해 설명해 주세요.,"법철학은 법의 본질과 목적, 개념, 객관적 가치, 이념, 효력, 타당성 등을 규명하는 토대가 됩니다. 따라서 시의적절한 법철학을 가지고 있지 않은 법은 효력을 부정당하게 되며, 해당 법으로 처벌되었던 과거의 전례는 모두 무효로 처리됩니다",F,
32,법철학에 대해 설명해 주세요.,"법철학은 법의 본질과 법의 효력의 근거를 밝히고, 법의 이념과 법의 이상을 추구하여 법학의 방법론을 제시·확립하기 위한 학문입니다. 협의법학인 법해석학이 실천철학으로서 법의 실천적인 면에서 규명하고자 하는 법학이라면, 법철학은 이론법학으로서 법을 순수한 원리적·가치적 측면에서 규명하는 법규범학으로 구분하기도 합니다.",P,법해석학에 대해 설명해 주세요.
32,논리실증주를 설명해 주세요.,"논리학이나 수학의 명제는 경험적으로는 공허한 동어반복이고, 경험적 명제는 논리적으로는 필연적이 아니며, 진실이기 위한 조건이 경험적 사실에 의해 충족되는가 아닌가에 의해 진실 또는 거짓으로 판명됩니다. 이와 같이 진실이기 위한 조건이 명제가 가진 의미이고, 명제가 유의미하다는 것은 경험에 의해 그 진위가 결정된다는 것, 즉 실험에 의한 검증이 가능하다는 것입니다.",P,명제에 대해 설명해 주세요.
32,논리실증주를 설명해 주세요.,"초기의 논리실증주의, 즉 비인 학파의 초기에 있어서 지도적 입장에 있었던 슐리크는 법칙의 진술을 진실한 판단이 아니고 개개의 판단에의 유인과 같은 것으로 해석했으나 많은 사람들은 이에 따르지 않았습니다. 후에 카르납은 법칙을 실험에 의해 엄밀한 의미로 검증 또는 반증된다는 것보다는 신뢰성을 증감시키는 것으로 생각하고, 그 정도를 확률론적으로 측정하는 방법을 찾게 되었습니다.",P,슐리크에 대해 설명해 주세요.
32,논리실증주를 설명해 주세요.,"논리실증주의란 법에서 가장 기초적으로 주장되는 이념 중 하나입니다. 논리적으로 그 진위가 귀납적으로 증명되는 것인지를 파악하는 것으로, 시대가 지남에 따라 데이터가 축적되면서 연역에 가까워지는 논리적 개념입니다.",F,
32,논리실증주를 설명해 주세요.,"논리실증주의란 개개인의 판단에 유인을 주는 것으로, 법적인 문장이 아닌 일상생활에서도 자주 등장하고 있습니다. 자료의 검증과 반증이 된다는 것을 통해 대상을 반박하거나 신뢰를 주는 것, 이를 논리실증주의라고 하며, 해당 개념은 완벽히 연역적이기 때문에 실험을 통해서는 검증이 불가능합니다.",F,
32,논리실증주를 설명해 주세요.,"논리실증주의는 명제가 어떤 의미를 지니는지, 그 실용성은 어떻게 되는지를 파악하는 것으로 주로 가상실험을 통한 논리의 흐름전개를 통해서 파악되어집니다. 그러나 사회학적으로는 해당 실증주의가 비현실적이라는 비판을 받습니다",F,
32,법정책학에 대해 설명해 주세요.,"법정책학은 국민을 대상으로 한 법률에 대하여 가장 효율적인 법기술 체계를 연구하는 학문입니다. 즉, 법정책학은 법의 제정목적을 가장 효율적으로 달성하고 이를 실용화하는데 목적을 두고 있는 실용법학의 한 갈래입니다. 따라서 과학적이고 합리적인 접근방법을 필요로 하는 학문입니다.",P,실용법학의 특징을 설명해 주세요.
32,법정책학에 대해 설명해 주세요.,법정책학이란 어떠한 사회적 목표를 어떠한 법적인 수단으로 어떠한 법적인 결과를 달성하여야 할 것인가를 질문하고 판단하는 기법을 개발하기 위한 것입니다. 따라서 정책학에서의 의사결정이론을 법적으로 재구성하고 이를 현재의 실정법체계와 결부시켜 법 제도 또는 규범체계를 설계함으로써 현재 사회가 직면하고 있는 각종 사회문제를 통제 할 수 있습니다.,P,실정법에 대해 설명해 주세요.
32,법정책학에 대해 설명해 주세요.,"법정책학은 법률을 통해 어떤 정책을 창출할 수 있는지를 연구하는 학문으로서, 자연법 위주로 구성된 법률을 체계화하고 성문화시키는 수단으로 작용합니다. 따라서 자연법이 규범체계가 되어 각 사회문제에 적용되기 위해서는 법 정책학 과정을 거쳐야 합니다.",F,
32,법정책학에 대해 설명해 주세요.,법정책학은 국민을 대상으로 한 법률에 대해서 해당 법이 어떤 정책적 과정을 통해서 이뤄졌는지를 밝히는 학문입니다. 따라서 법정책학은 각 정책학자의 정치적 성향에 따라서 학문에서 선택되는 법률이 달라질 수 있습니다,F,
