CODE,Q1,A1,P/F,Q2
33,젠트리피케이션에 대해 설명해 주세요.,"젠트리피케이션은 도시가 발전함에 따라 대도시의 중심부로 거주 인구가 몰리는 과정 때문에 발생합니다. 대도시의 중심에 인프라가 집중되면서 중산층 이상의 계층이 도심의 중심부로 거주지역을 옮기면서, 하층계급 주민이 치솟은 주거 비용을 감당하지 못하고 교외로 점차 밀려나는 형태로 젠트리피케이션이 진행되었습니다. ",F,
33,젠트리피케이션에 대해 설명해 주세요.,젠트리피케이션은 도시의 재개발로 인해 낙후지역에 자본이 유입되면서 해당 지역의 상권이 형성되고 활성화 되는  현상과 관련되어 있습니다. 이로 인해 해당 지역의 원주민들이 해당지역이 상업화됨에 따라 시세차익을 얻어 교외로 빠져나가는 교외화 현상으로 이어집니다. ,F,
33,젠트리피케이션에 대해 설명해 주세요.,"젠트리피케이션은 낙후지역이 활성화되면서 외부의 자본이 들어와 해당지역의 상권이 활성화되는 방향으로 진행됩니다. 기존 상가의 정체성과 고유성을 지키면서, 프랜차이즈 자본 등이 들어와 대중소비와 연결됩니다. 이로인해 외부자본과 기존상권이 서로 상생을 도모하면서 도시의 고급화가 촉진되게 됩니다. ",F,
33,젠트리피케이션에 대해 설명해 주세요.,"젠트리피케이션이 일어나는 과정은 대도시의 교외화 현상과 관련이 있습니다. 도시의 발전에 따라 대도시일수록 중심 시가지에서 도시 주변으로 거주 인구가 확산하는 교외화 과정이 진행되고, 이 과정에서 교외 지역은 자본이 집중 투여되면서 발전하는 반면, 도심에 가까운 지역은 교외로 이주할 여력이 없는 저소득층이 거주하는 낙후지역으로 전락합니다.",P,대도시의 교외화 현상에 대해 설명해 주세요.
33,젠트리피케이션에 대해 설명해 주세요.,"미국에서는 제2차 세계대전 후 중산층 백인의 교외화 현상이 두드러졌고, 이로 인하여 뉴욕·보스턴 등 대도시 도심은 흑인과 외국인 이민자를 비롯한 소수민족의 게토로 전락하였습니다. 이후 1970년대부터 도시에 사는 젊은 전문직 종사자들이 게토화된 도심의 낙후지역으로 몰려들어 자본이 본격적으로 유입되고 부유층의 이주를 촉진함으로써 젠트리피케이션이 진행되었습니다.",P,게토에 대해 설명해 주세요.
33,패러다임에 대해 설명해 주세요.,"패러다임은 '사례·예제·실례·본보기' 등을 뜻하는 그리스어 '파라데이그마'에서 유래한 것으로, 언어학에서 빌려온 개념입니다. 즉 으뜸꼴·표준꼴을 뜻하는데, 이는 하나의 기본 동사에서 활용에 따라 파생형이 생기는 것과 마찬가지 입니다. 이런 의미에서 쿤은 패러다임을 한 시대를 지배하는 과학적 인식·이론·관습·사고·관념·가치관 등이 결합된 총체적인 틀 또는 개념의 집합체로 정의하였습니다.",P,언어학에 대해 설명해 주세요.
33,패러다임에 대해 설명해 주세요.,패러다임은 기존 사회의 문제점을 해결하기 위해 특정 시기의 모범적 틀을 깨는 것입니다. 모범적 틀을 깨기 위해 기존의 자연과학과는 차별화된 인식틀을 필요로 하기 합니다. 이 때문에 기존의 패러다임을 부수기 위해 전위적이고 혁명적인 사상의 변화가 일어나게 됩니다. ,F,
33,패러다임에 대해 설명해 주세요.,패러다임은 한 시대를 지배하는 과학적 인식·이론·관습·사고·관념·가치관 등이 결합된 총체적인 틀입니다. 과학적 패러다임의 전환은 정상과학을 타파하기 위한 방식으로 진행되기 때문에 기존의 과학적 사고와 대비되는 모습으로 나타나게 됩니다. ,F,
33,패러다임에 대해 설명해 주세요.,"토마스 쿤은 천동설에서 지동설로 이론 체계가 변화하는 과정을 과학혁명의 단적인 예로 제시하였습니다. 쿤은 이러한 과학 이론의 변화는 어느 한 이론을 부정하고, 그릇된 사상을 교정하는 해결방법이라 보았습니다. 이러한 개념에 따르면 현대의 표준 모형 역시 하나의 패러다임이며, 절대적인 진리는 결코 존재하지 않는다는 결론에 도달하게 되었습니다. ",F,
33,패러다임에 대해 설명해 주세요.,"쿤에 따르면, 과학사의 특정한 시기에는 언제나 개인이 아니라 전체 과학자 집단에 의해 공식적으로 인정된 모범적인 틀이 있는데, 이 모범적인 틀이 패러다임입니다. 그러나 이 패러다임은 전혀 새롭게 구성되는 것이 아니라 기존의 자연과학 위에서 혁명적으로 생성되고 쇠퇴하며, 다시 새로운 패러다임으로 대체됩니다.",P,자연과학에 대해 설명해 주세요.
33,패러다임에 대해 설명해 주세요.,"하나의 패러다임이 나타나면, 이 패러다임에서 나타나는 갖가지 문제점들을 해결하기 위해 과학자들은 계속 연구·탐구 활동을 하는데, 이를 정상과학이라고 합니다. 이어 정상과학을 통해 일정한 성과가 누적되다 보면 기존의 패러다임은 차츰 부정되고, 경쟁적인 새로운 패러다임이 나타납니다.",P,정상과학에 대해 설명해 주세요.
