CODE,Q1,A1,P/F,Q2
35,수질에 대해 설명해 주세요.,"지하수에는 빗물이 땅 속으로 스며들어 충진되므로 빗물에 포함된 원소와 그 이외에 토양에 존재하는 광물질인 규산, 중탄산, 철 등이 녹아 있습니다. 강이나 호소에서의 경우 빗물 및 지하수 속에 포함된 물질 이외에도 하천수, 하수 등에 포함되어 있는 점토, 세균, 생물 등이 포함되어져 있습니다.",P,빗물에 대해 설명해 주세요.
35,수질에 대해 설명해 주세요.,"수질이란 물의 탁한 정도를 의미합니다. 순수한 물의 경우에는 수질이 가장 좋다고 평가되며, 공장 폐수의 경우를 기준으로 가장 낮은 수질을 측정합니다. 그러나 가장 낮은 수질에도 생명체가 살 수 있습니다.",F,
35,수질에 대해 설명해 주세요.,"물이 얼만큼의 불순물을 가지고 있는지를 수질이라고 합니다. 보통 불순물이 존재하지 않는 완벽히 수소와 산소로만 구성되어 있는 물이 가장 인체에 적합한 것으로 평가되며, 무기질이 포함될수록 수질이 낮아지는 성질이 있습니다",F,
35,수질에 대해 설명해 주세요.,"대부분의 지하수는 수질이 가장 높은 것으로 평가되고 있습니다. 지하수는 유기질,무기질이 함유되어 있지 않으며 다른 물질과 결합이 용이하고 화학적,물리적 반응을 일으키기 용이하기 때문입니다.",F,
35,수질에 대해 설명해 주세요.,"물이 불순물을 함유함으로써 생기는 이학적·화학적·생물학적 특성입니다. 물을 사용하는 목적에 따라 필요한 수질이 있기 때문에 수질을 검사할 필요가 있습니다. 암석이나 토양 사이를 지나온 지하수에는 앞의 원소 외에 규산·중탄산·철·망가니즈 등도 녹아 있고, 강이나 호소의 물에는 이들 용해물질 외에 점토·세균·생물 등이 부유합니다.",P,망가니즈에 대해 설명해 주세요.
35,생화학적 산소요구량을 설명해 주세요.,"일반적으로 BOD로 부르며, 생물분해가 가능한 유기물질의 강도를 뜻합니다. 하천·호소·해역 등의 자연수역에 도시폐수·공장폐수가 방류되면 그중에 산화되기 쉬운 유기물질이 있어 수질이 오염됩니다. 이러한 유기물질은 수중의 호기성세균에 의해 산화되며, 이에 소요되는 용존산소의 양을 mg/ℓ 또는 ppm으로 나타낸 것이 생화학적 산소요구량입니다.",P,호기성세균에 대해 설명해 주세요.
35,생화학적 산소요구량을 설명해 주세요.,수질규제 항목 중 가장 일반적입니다. 보통 호기성 미생물이 충분히 생육 가능한 상태에서 시료를 20℃에서 5일 동안 방치하였을 때 소비되는 산소량(BOD)을 말합니다. BOD 반응수치는 온도가 올라감에 따라 약간 증가합니다. 도시폐수의 경우 BOD 반응은 20℃에서 약 20일이 걸리는데 이와 같이 끝까지 반응시켜서 얻은 것을 최종 BOD 농도라고 합니다.,P,수질규제에 대해 설명해 주세요.
35,생화학적 산소요구량을 설명해 주세요.,생화학적 산소요구량이란 인체의 체내 혹은 유기체의 체내에서 활동이 일어나기 위해 필요한 산소를 의미합니다. 인체의 경우에 폐의 산소 흡수량으로 측정되며 반대로 이산화탄소 배출량으로도 측정 가능합니다,F,
35,생화학적 산소요구량을 설명해 주세요.,주로 시료를 20도에서 5일 동안 방치하였을 때 소비되는 소비량인 BOD를 생화학적 산소요구량이라고 합니다. 해당 산소가 모두 소모된 물의 경우 재생이 불가능하며 자연 순환으로서도 복구될 수 없는 성질을 지닙니다,F,
35,생화학적 산소요구량을 설명해 주세요.,생화학적 산소요구량이란 물에서 어떠한 유기체가 살아가는데 필요한 물 속 유기물과 무기물의 총합을 지칭합니다. 그 산소요구량이 적을 수록 해당 유기체가 해당 물 속에서 더 오래 살아남을 수 있습니다.,F,
35,생화학적 산소요구량을 설명해 주세요.,"BOD 측정법은 환경보전법 시행규칙에서 규정하고, 그 기준 역시 하천의 이용목적에 따라 규정되어 있습니다. BOD를 측정하기 위해서는 미리 pH완충액·희석수·식종세균·시약 등을 준비하고, 채취한 시료에 이러한 것들을 알맞게 혼합하여 희석한 후, 희석된 시료와 희석수를 각각 20℃ 부란기에 넣어서 5일간 배양합니다.",P,식종세균에 대해 설명해 주세요.
35,수질오염에 대해 설명해 주세요.,현대적 개념의 수질오염이 문제화된 것은 19세기 후반 영국의 경우가 처음입니다. 당시 런던에서는 거듭되는 콜레라 유행에 대한 대책으로 1855년 오물배제법을 정하고 하수도에 의한 오물배출을 촉진시켰습니다. 그 결과 처리되지 않은 하수가 템스강에 다량으로 방류되어 급속하게 오염되기 시작하였습니다.,P,콜레라에 대해 설명해 주세요.
35,수질오염에 대해 설명해 주세요.,"2차 세계대전 후에는 급속한 인구증가와 공업성장에 따르는 환경파괴, 오염물질 배출 등이 범지구적으로 확대되면서 지구환경보전을 위한 국제적 협력이 필요하게 되었습니다. 그리하여 1972년 스톡홀름에서 인간환경문제에 관한 유엔회의가 있었는데 수질보전문제도 이 회의에서 거론되었습니다.",P,공업성장에 따른 환경파괴에 대해 설명해 주세요.
35,수질오염에 대해 설명해 주세요.,"수질오염이란 인위적인 활동에 의해서 자연에 존재하는 물이 오염되는 현상을 의미합니다. 지하폐수, 생활폐수, 음식물쓰레기, 공장폐수 등에 의해 수질이 하락하는 것을 의미하며 자연적으로 수질오염은 모두 정화될 수 있습니다",F,
35,수질오염에 대해 설명해 주세요.,"급속한 인구증가와 공업의 성장으로 인해서 환경파괴가 빈번하게 발생하였는데 수질오염 역시 이러한 환경파괴의 일종입니다. 수질오염은 가시적으로 평가하며, 육안으로 보았을 때 더러움을 느끼는 경우만 수질오염에 해당됩니다",F,
35,수질오염에 대해 설명해 주세요.,수질오염은 기술이 발달함에 따라 인위적 행동에 의해서 발생하는 수질오염은 해소되었으나 인간이 아닌 동물이 발생시키는 오염이 증가함에 따라 동물의 행동에 대한 규제책에 대한 요구를 생산시키게 되는 계기가 되었습니다,F,
35,수질오염에 대해 설명해 주세요.,"자연수역의 수질이 폐물질의 유입 때문에 오염되는 일입니다. 자연수역이라 함은 일반적으로 하천·호수·해역 등과 같이 눈에 띄는 표면수를 가리키며, 폐물질이라 함은 가정폐수·공장폐수 등 문명사회로부터 배출되는 액상폐기물을 가리킵니다. 그리고 바람직하지 않게 변한다고 함은 용수로서의 가치와 외관이 저하되고, 환경보전 및 국민보건에 역영향을 끼치게 된다는 뜻입니다.",P,하천에 대해 설명해 주세요.
